|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |  19 |                      20 |                      21 |  22 |  23 |  24 |  25 |  26 |                      27 |                      28 |  29 |                      30 |  31 |                      32 |                      33 |  34 |                      35 |  36 |                      37 |                      38 |  39 |                      40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |   0.017674860491253067 |  -4.919234799036553e-18 | 0.0 | 0.0 |   0.0007990377777579306 | 0.0 |   -2.99951029703119e-06 | 0.0 | 0.0 |   4.639741753424919e-17 | 0.0 |     0.02641570204013851 |     0.05821856997138385 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.161838602803671e-16 | 0.0 |     0.11711499210684062 |    0.041663351057871084 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.000309523830993e-05 |   2.626947296576858e-17 | 0.0 |   5.582533572158807e-05 | 0.0 |  -5.709557012993512e-06 |  1.4882108455470702e-16 | 0.0 |   8.076766825635823e-05 | 0.0 |  -4.611991677565589e-05 |   4.421582031864374e-17 | 0.0 |   6.467255499747854e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -4.919234799036553e-18 |  2.1869826267926983e-33 | 0.0 | 0.0 |  1.6555606977497434e-19 | 0.0 |    -9.5385846065557e-22 | 0.0 | 0.0 |  -2.050595230839891e-32 | 0.0 | -1.1674764040303566e-17 |  -2.573046020589899e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.2812554756725695e-31 | 0.0 |  -5.175766823812085e-17 | -1.8413128913596742e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.2091613882623585e-20 |  -1.161349960605493e-32 | 0.0 | -2.4673262047386082e-20 | 0.0 |  2.4749740373830316e-21 |  -6.583529481326112e-32 | 0.0 | -3.5698142819626637e-20 | 0.0 |  2.0230995299598822e-20 | -1.9640299177302305e-32 | 0.0 | -2.8589676582135426e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  0.0007990377777579306 |  1.6555606977497434e-19 | 0.0 | 0.0 |    0.016233207151963403 | 0.0 |   5.018922342501676e-07 | 0.0 | 0.0 |  -2.105930149515492e-18 | 0.0 |  -0.0011990064868995507 |  -0.0026425184230402434 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.3479541784190324e-17 | 0.0 |   -0.005332211643323129 |  -0.0018941771882279026 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.3144562337498876e-06 | -1.1732871833098256e-18 | 0.0 |  -2.530897789678735e-06 | 0.0 |   5.395180737331278e-07 |  -6.396947292458738e-18 | 0.0 |  -3.655547667755531e-06 | 0.0 |  3.0189300434461266e-06 | -1.4079789544714225e-18 | 0.0 |  -2.894191584024533e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -2.99951029703119e-06 |    -9.5385846065557e-22 | 0.0 | 0.0 |   5.018922342501676e-07 | 0.0 |  1.5652965067244965e-07 | 0.0 | 0.0 |   8.774092198555385e-21 | 0.0 |  4.9953324588089834e-06 |  1.1009451676846723e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.748077080328529e-20 | 0.0 |   2.210381090545518e-05 |   7.870594723737789e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.326531780702137e-09 |   5.023062126000173e-21 | 0.0 |  1.0565579529320502e-08 | 0.0 | -3.4242065941313995e-10 |   2.908467964805564e-20 | 0.0 |   1.530117928765616e-08 | 0.0 |  -6.837578608959996e-09 |   9.581010632756791e-21 | 0.0 |  1.2314027576359174e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |  4.639741753424919e-17 |  -2.050595230839891e-32 | 0.0 | 0.0 |  -2.105930149515492e-18 | 0.0 |   8.774092198555385e-21 | 0.0 | 0.0 |    2.52799149194644e-29 | 0.0 |  1.6183803458977437e-16 |   4.564372665826985e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.589949893457685e-32 | 0.0 |  -9.845375675405994e-18 |  -3.125384970179804e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3224870499900334e-21 | -6.6802628537833834e-34 | 0.0 | -1.4432799630499728e-21 | 0.0 |  3.1727290115219217e-22 | -3.6381924025191834e-33 | 0.0 | -2.0850925932720377e-21 | 0.0 |  1.7221252835229227e-21 |  -8.051470104862002e-34 | 0.0 |  -1.651225870614895e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
