|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                      6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                     18 |  19 |                     20 |                      21 |  22 |  23 |  24 |  25 |  26 |                      27 |                      28 |  29 |                      30 |  31 |                      32 |                      33 |  34 |                      35 |  36 |                      37 |                      38 |  39 |                      40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |    0.015926668948115837 | -1.1631649875836112e-17 | 0.0 | 0.0 |   0.0015239287215693385 | 0.0 | -9.442358443648072e-07 | 0.0 | 0.0 |   3.169960547766444e-17 | 0.0 |    0.009388725657128014 |    0.003983315559430535 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.1437903508500417e-14 | 0.0 |     0.0044082578130653 |     0.00559008391431176 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0005724047173112238 |   9.557008683783439e-17 | 0.0 |  0.00011945343517643475 | 0.0 |   0.0003495362088118522 |   2.491635360649896e-16 | 0.0 |  0.00011538600218591478 | 0.0 |   0.0001942384746179559 |   1.825745905551154e-16 | 0.0 |   7.038042689833653e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -1.1631649875836112e-17 |  1.9602679271836043e-32 | 0.0 | 0.0 |  -3.201401953031052e-19 | 0.0 | -1.093682623932252e-22 | 0.0 | 0.0 |   -5.02978142942233e-32 | 0.0 |  -1.509636216505607e-17 |  -6.379322036622304e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.821387310800433e-29 | 0.0 | -6.775581208712327e-18 |  -8.726838824795743e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.660631013943884e-19 | -1.4984786891459299e-31 | 0.0 | -1.9185968884843523e-19 | 0.0 |  -5.725839521962729e-19 |  -3.995506283838612e-31 | 0.0 |  -1.809359408089227e-19 | 0.0 | -2.9940411519676475e-19 | -2.8076424026822084e-31 | 0.0 | -1.1328688122031185e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   0.0015239287215693385 |  -3.201401953031052e-19 | 0.0 | 0.0 |    0.017169895634420847 | 0.0 |   6.22926854094037e-08 | 0.0 | 0.0 |  1.6672597953564462e-19 | 0.0 |  -0.0004039383738816352 | -0.00011323615599218209 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 3.7493132570956086e-15 | 0.0 |  0.0032647393213812177 |   0.0014594782695346042 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.929637422498522e-05 |   4.655966068263838e-18 | 0.0 |   -4.64778213928128e-06 | 0.0 |  -3.807389587271391e-05 |   -7.16123074502617e-18 | 0.0 |    5.54661413083608e-06 | 0.0 |  2.4514941618385948e-05 |  2.3366370681419657e-17 | 0.0 | -3.1645687586127484e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -9.442358443648072e-07 |  -1.093682623932252e-22 | 0.0 | 0.0 |    6.22926854094037e-08 | 0.0 |  2.847977112857896e-09 | 0.0 | 0.0 |  1.4520902442576888e-22 | 0.0 |  5.1535375060628304e-08 |   2.077017278553352e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0331782034507464e-19 | 0.0 |  4.487814843138627e-08 |   3.344914018144064e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.457388415210113e-10 |   3.716731158847215e-22 | 0.0 |   6.480674513498818e-10 | 0.0 |  2.5009478560527778e-09 |  1.4631859768339856e-21 | 0.0 |  4.4253805306219776e-10 | 0.0 |   8.672366758984754e-10 |   6.652963531554722e-22 | 0.0 |   4.061187128478787e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |   3.169960547766444e-17 |   -5.02978142942233e-32 | 0.0 | 0.0 |  1.6672597953564462e-19 | 0.0 | 1.4520902442576888e-22 | 0.0 | 0.0 |  4.1120240876548056e-30 | 0.0 |  3.7997828367173926e-16 |  1.2918721565750358e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2.2063054508283456e-28 | 0.0 |  2.330106503611877e-16 |   7.569762627809719e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.3445031470807953e-18 | -3.6664862838793683e-31 | 0.0 |  -1.266851639864771e-18 | 0.0 |  -5.630110724459982e-18 | -2.4758934401218594e-30 | 0.0 |  -4.470896179318496e-19 | 0.0 |   3.271355788541288e-19 |  3.6649482122869203e-31 | 0.0 |   -7.83406323204013e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
