|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     cygnus_background.spectral.index |   0.032843875583288384 |  -1.967281288744081e-18 | 0.0 | 0.0 |    0.001760761864021866 | 0.0 |    0.010040139025349958 | 0.0 | 0.0 |   0.0003083078430047392 |   2.353052459002158e-17 | 0.0 |  0.00011105506883010276 | 0.0 |   0.0002986525241002161 |   3.841465797968862e-16 | 0.0 |  0.00018836482540786258 | 0.0 |   0.0005136008194191866 |  2.3664004121627484e-16 | 0.0 |  0.00017365814538081636 | 0.0 |  0.00019447962205999805 |     7.6622963120209e-17 | 0.0 |  0.00017234135561292887 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.0132554793486425e-19 | 0.0 |  0.00040898148281473556 |   0.0011987841019910127 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -1.967281288744081e-18 |  1.5200169616695366e-32 | 0.0 | 0.0 |  2.9606403657037554e-19 | 0.0 |   3.979382500765394e-18 | 0.0 | 0.0 |  -3.402747635141738e-19 |  -2.844585858558086e-32 | 0.0 | -1.3323927348828123e-19 | 0.0 |   7.959355520525991e-19 |  2.0389123649784353e-31 | 0.0 |  6.6286951031341435e-22 | 0.0 |  -4.305821675630269e-20 | -1.0760584663930455e-31 | 0.0 |  1.9707821972248032e-20 | 0.0 |   7.303817827698048e-19 |  -9.288832432885548e-32 | 0.0 | -2.1106449172997993e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2799767807022236e-34 | 0.0 |  -2.720660515194413e-18 | -1.5019260312979255e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   0.001760761864021866 |  2.9606403657037554e-19 | 0.0 | 0.0 |    0.007457178513430947 | 0.0 |  -0.0016815995491623926 | 0.0 | 0.0 |  -2.787572668710217e-05 |  -1.961836427130212e-18 | 0.0 |  -9.242503907226256e-06 | 0.0 | -0.00011311237074398796 |  -8.290787068204422e-17 | 0.0 | -3.3065001719996286e-05 | 0.0 |  -8.672722554352213e-05 |  -3.326944006478436e-17 | 0.0 | -3.1937270570940364e-05 | 0.0 |  -8.973028281378335e-05 |  -6.344505417401255e-18 | 0.0 | -1.4088689079188966e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.3076976687624884e-20 | 0.0 |  0.00013605677816470256 |  -9.539942251097239e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |   0.010040139025349958 |   3.979382500765394e-18 | 0.0 | 0.0 |  -0.0016815995491623926 | 0.0 |     0.02724021260526866 | 0.0 | 0.0 | -0.00028222022843548544 | -1.2127100139097952e-17 | 0.0 |  -9.262048872622723e-05 | 0.0 |  -0.0005304568647165408 |  -4.425851370600463e-16 | 0.0 | -0.00019082321439850127 | 0.0 |  -0.0005086857508209443 |  -2.051249467894452e-16 | 0.0 | -0.00018295156723999712 | 0.0 |  -0.0004506211940446089 |  -4.839287878979326e-17 | 0.0 | -0.00011500482183112473 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.546339904397936e-19 | 0.0 |  0.00035813397483739636 |  -0.0007977280621894562 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  0.0003083078430047392 |  -3.402747635141738e-19 | 0.0 | 0.0 |  -2.787572668710217e-05 | 0.0 | -0.00028222022843548544 | 0.0 | 0.0 |    0.003577294897156331 |  5.2799460751192256e-17 | 0.0 | -0.00020443834461786762 | 0.0 |  -8.204468587029395e-05 |  -4.150532478840887e-18 | 0.0 |  3.2610044313729413e-06 | 0.0 |   1.654400817554773e-05 |   1.275072809311561e-17 | 0.0 |  3.2475454145243105e-06 | 0.0 |  -3.058946777640136e-05 |   8.497028593810566e-18 | 0.0 |  2.4323321448179568e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.625894118730795e-21 | 0.0 |  0.00026791976563575486 |  0.00017784868041650193 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
