|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |
|     cygnus_background.spectral.index |   0.013105061363037322 |   5.754967136245287e-18 | 0.0 | 0.0 |   0.0004141046868487465 | 0.0 |  2.1782456306305847e-05 | 0.0 | 0.0 |  1.7468639688627138e-05 |   4.495703390097439e-19 | 0.0 |   3.253427810607393e-08 | 0.0 |   4.088721444656995e-05 |   3.490187255729126e-19 | 0.0 |  1.5961990580404806e-09 | 0.0 |   3.690225393662429e-05 |   7.017302404213435e-19 | 0.0 |   9.131287200315388e-10 | 0.0 |   3.281766456531098e-05 |   3.891315432096007e-19 | 0.0 |   6.629418400120218e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.6373827760745196e-22 | 0.0 |  -3.549954692238331e-05 |  1.8548111907349857e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  5.754967136245287e-18 |  4.1480833323485187e-32 | 0.0 | 0.0 | -1.2466810053048813e-18 | 0.0 | -4.1884990755352665e-20 | 0.0 | 0.0 |  -4.330673121261247e-20 |  -4.367386383609455e-34 | 0.0 |   -7.77147976086992e-23 | 0.0 |  -8.328546921629589e-20 |  -4.109931234324266e-34 | 0.0 |  -3.408324383504787e-24 | 0.0 |  -7.412105430375509e-20 | -1.2309959063201038e-33 | 0.0 | -1.8378087010493912e-24 | 0.0 |   -6.05815247576446e-20 | -7.5255903998673105e-34 | 0.0 | -1.2936524478789785e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.846352250704076e-37 | 0.0 |   6.701865463283127e-20 |  -3.763857325959135e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  0.0004141046868487465 | -1.2466810053048813e-18 | 0.0 | 0.0 |   0.0018119371801306075 | 0.0 |   -2.90637045061746e-06 | 0.0 | 0.0 |  -2.345962373772458e-06 |  -5.867461749853876e-20 | 0.0 |   -4.36172552599251e-09 | 0.0 |   -5.44507834535943e-06 |  -4.573725429429876e-20 | 0.0 | -2.1279526024206997e-10 | 0.0 |  -4.911913497093139e-06 |   -9.29576277355539e-20 | 0.0 |  -1.215052025190575e-10 | 0.0 |  -4.355001937123101e-06 | -5.1724849228429764e-20 | 0.0 |    -8.8133446910613e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.4994475051818824e-23 | 0.0 |   4.714477574901001e-06 | -2.4688795573148956e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta | 2.1782456306305847e-05 | -4.1884990755352665e-20 | 0.0 | 0.0 |   -2.90637045061746e-06 | 0.0 |  0.00011827365415219592 | 0.0 | 0.0 | -1.2114172632364462e-07 |  -3.068851559261041e-21 | 0.0 | -2.2540950054989847e-10 | 0.0 | -2.8225432256574817e-07 | -2.3875319881531496e-21 | 0.0 |  -1.103397035867101e-11 | 0.0 |  -2.546663810288711e-07 |  -4.829835183767014e-21 | 0.0 |  -6.302899557890497e-12 | 0.0 | -2.2609030378582518e-07 | -2.6833029707480735e-21 | 0.0 | -4.5725851540464697e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.816781625703065e-24 | 0.0 |  2.4467688366706324e-07 | -1.2805090835716652e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | 1.7468639688627138e-05 |  -4.330673121261247e-20 | 0.0 | 0.0 |  -2.345962373772458e-06 | 0.0 | -1.2114172632364462e-07 | 0.0 | 0.0 |  0.00016435234858009433 |  2.0701953646371303e-19 | 0.0 |  -6.210041426341674e-09 | 0.0 |  -3.254409792696383e-07 |  2.8292815773928196e-21 | 0.0 |  -9.637664877544763e-12 | 0.0 | -1.9106937922142278e-07 |  -3.664306931095708e-21 | 0.0 |  -4.742364489856397e-12 | 0.0 | -1.7080345768108875e-07 |  -2.019269441830321e-21 | 0.0 | -3.4433238264916605e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3726601224907165e-24 | 0.0 |  1.8454876857549695e-07 |  -9.627365400587938e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  4.495703390097439e-19 |  -4.367386383609455e-34 | 0.0 | 0.0 |  -5.867461749853876e-20 | 0.0 |  -3.068851559261041e-21 | 0.0 | 0.0 |  2.0701953646371303e-19 |  2.9898490579621605e-31 | 0.0 |   3.127475756160552e-22 | 0.0 | -1.6661113252108444e-22 | -2.8638321203794747e-34 | 0.0 |  -1.497544159346458e-25 | 0.0 | -4.8542319741386716e-21 |  -8.998433854282612e-35 | 0.0 | -1.1940654681378263e-25 | 0.0 |   -4.24959459143454e-21 |  -5.083855845035086e-35 | 0.0 |  -8.649959542729799e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.4142019852427883e-38 | 0.0 |   4.613971307223666e-21 | -2.4296368221778237e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  3.253427810607393e-08 |   -7.77147976086992e-23 | 0.0 | 0.0 |   -4.36172552599251e-09 | 0.0 | -2.2540950054989847e-10 | 0.0 | 0.0 |  -6.210041426341674e-09 |   3.127475756160552e-22 | 0.0 |    7.22829065712226e-08 | 0.0 |  -5.767416320301803e-10 |   3.791610115564254e-24 | 0.0 | -1.7665056698061228e-14 | 0.0 | -3.5558520975864987e-10 |  -6.805205432761836e-24 | 0.0 |  -8.820762035588473e-15 | 0.0 | -3.1746068725763956e-10 |  -3.755807751442218e-24 | 0.0 |  -6.403650834488268e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.5512244299744196e-27 | 0.0 |   3.431102120496313e-10 |  -1.790937630495718e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  4.088721444656995e-05 |  -8.328546921629589e-20 | 0.0 | 0.0 |   -5.44507834535943e-06 | 0.0 | -2.8225432256574817e-07 | 0.0 | 0.0 |  -3.254409792696383e-07 | -1.6661113252108444e-22 | 0.0 |  -5.767416320301803e-10 | 0.0 |   0.0002452534592176641 |    1.86146243712302e-19 | 0.0 |  -8.595811562463572e-11 | 0.0 | -4.4555767512443116e-07 |  -8.459164276685104e-21 | 0.0 | -1.1028833822292366e-11 | 0.0 | -3.9580427485072355e-07 |  -4.695903928832589e-21 | 0.0 |  -8.002278496672807e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.180604405637187e-24 | 0.0 |   4.282782006041937e-07 | -2.2404940832158673e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  3.490187255729126e-19 |  -4.109931234324266e-34 | 0.0 | 0.0 |  -4.573725429429876e-20 | 0.0 | -2.3875319881531496e-21 | 0.0 | 0.0 |  2.8292815773928196e-21 | -2.8638321203794747e-34 | 0.0 |   3.791610115564254e-24 | 0.0 |    1.86146243712302e-19 |   6.988264003189606e-30 | 0.0 |   2.492757921743663e-24 | 0.0 | -3.7754369226517544e-21 |  -7.044210555025024e-35 | 0.0 |  -9.298565457429772e-26 | 0.0 | -3.3154503482814868e-21 | -3.9590739750659934e-35 | 0.0 |  -6.738488678899359e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.663811634904296e-38 | 0.0 |   3.597019821893716e-21 |  -1.891398429475871e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
