|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     cygnus_background.spectral.index |  0.0031530944760187773 |  -6.780435372882618e-19 | 0.0 | 0.0 |  -3.980951612446234e-06 | 0.0 |  2.2580530875451043e-08 | 0.0 | 0.0 |   9.156766664886577e-09 |   5.145034398462184e-21 | 0.0 |  1.1767881545546235e-11 | 0.0 |  4.2435882034113715e-08 |    1.65067611952631e-22 | 0.0 |   3.222070890753779e-13 | 0.0 |   6.021409798213098e-08 |  1.1529077362576614e-22 | 0.0 |    4.74784117982806e-13 | 0.0 |  2.1152412920128187e-08 |   8.189851105058836e-22 | 0.0 |   2.308442145098139e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.735298281306346e-25 | 0.0 |  -3.479285792264779e-08 |   7.959211194697296e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -6.780435372882618e-19 |   9.227498722083242e-32 | 0.0 | 0.0 |   7.380899879987017e-19 | 0.0 | -3.3603901333195593e-21 | 0.0 | 0.0 |  2.4755675808835577e-20 |   7.528316850666656e-34 | 0.0 |  1.5789372006042588e-23 | 0.0 |   4.224243602630533e-20 |  1.5220892244469773e-34 | 0.0 |   7.464925744818962e-25 | 0.0 |   3.438006077927454e-20 |   3.687676474768689e-34 | 0.0 |   4.178082730624922e-25 | 0.0 |  2.4603426289967376e-20 |   2.599617407426051e-34 | 0.0 |   3.129762451155928e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.080208599739108e-38 | 0.0 | -2.6680106328825505e-20 |   8.776884234488532e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 | -3.980951612446234e-06 |   7.380899879987017e-19 | 0.0 | 0.0 |   0.0002431063570447495 | 0.0 |   3.737648551911739e-09 | 0.0 | 0.0 | -3.7126570777785023e-09 |  4.9549320195098947e-23 | 0.0 |  -2.160112361040004e-12 | 0.0 |  -5.306635827986125e-09 |  -1.919498186949506e-23 | 0.0 |  -8.969786812682406e-14 | 0.0 | -3.5507299058753607e-09 |  -5.640970011355527e-23 | 0.0 | -4.6753410739720974e-14 | 0.0 | -3.1898121087358545e-09 | -1.5218128757953896e-23 | 0.0 | -4.0158385934337534e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.5352151660721097e-27 | 0.0 |  3.1077389247473566e-09 | -1.0496802150280543e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta | 2.2580530875451043e-08 | -3.3603901333195593e-21 | 0.0 | 0.0 |   3.737648551911739e-09 | 0.0 |   4.091950278697602e-06 | 0.0 | 0.0 |   7.865976819021805e-12 |  -5.228371970870014e-25 | 0.0 |   4.043321835133052e-15 | 0.0 |   8.615410355608432e-12 |  3.1326517096938844e-26 | 0.0 |  1.3556932331835868e-16 | 0.0 |  3.3963991160515357e-12 |  1.2230309504504496e-25 | 0.0 |   5.884050670541774e-17 | 0.0 |   5.485185608283548e-12 | -2.8943312460428423e-26 | 0.0 |   6.803878989656749e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.3169996990731585e-29 | 0.0 |  -4.294255160178955e-12 |  1.5528126313279983e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  9.156766664886577e-09 |  2.4755675808835577e-20 | 0.0 | 0.0 | -3.7126570777785023e-09 | 0.0 |   7.865976819021805e-12 | 0.0 | 0.0 |   3.045495455694433e-05 |   1.437866033682926e-20 | 0.0 |  -7.195291842859319e-11 | 0.0 | -3.2660044288924682e-09 |   6.111053625305753e-23 | 0.0 | -1.8923867312993297e-14 | 0.0 | -1.3417947730733813e-10 |  -9.285314662437596e-25 | 0.0 | -1.4539829110209762e-15 | 0.0 |   -7.63643944486546e-11 |  -1.352175103369305e-24 | 0.0 |  -9.579449731224812e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.532717988699447e-28 | 0.0 |   9.344217020727911e-11 | -2.8631708570342764e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
