|                           Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                      11 |  12 |                      13 |  14 |                      15 |                      16 |  17 |                      18 |  19 |  20 |  21 |  22 |  23 |  24 |                     25 |  26 |                      27 |                      28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|         VER J2020+368.spectral.index |     0.05031911473431623 |  2.6782510330284393e-15 | 0.0 |   0.0017061680164919075 | 0.0 |  -0.0005574442094835136 |  -4.276741056132988e-16 | 0.0 |  -3.333205649652518e-05 | 0.0 |   9.790091079029856e-09 |    4.83405504361553e-21 | 0.0 |   8.927550396147098e-10 | 0.0 |  -9.168249741293908e-11 | -1.2801059376153603e-23 | 0.0 | -1.7713902069295233e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  7.303796740622788e-26 | 0.0 |  -2.501911120026758e-10 |  -2.037075852789121e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  2.6782510330284393e-15 |  2.2660198818610065e-28 | 0.0 |   4.988248123946323e-16 | 0.0 | -4.6376721552243446e-17 | -4.3465147757911193e-29 | 0.0 |  -3.241231382143798e-18 | 0.0 |  1.0024564442652596e-21 |  4.7694099148513926e-34 | 0.0 |   7.548976493055697e-23 | 0.0 | -4.8678464211003965e-24 |  -6.548516795820629e-37 | 0.0 |  -8.942995376670585e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  6.533841298841034e-39 | 0.0 |  -1.625696637443602e-23 |  -8.136563625048907e-25 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   0.0017061680164919075 |   4.988248123946323e-16 | 0.0 |   0.0024715662203805256 | 0.0 |  -0.0001294534540799738 |  -9.714419329463768e-17 | 0.0 |  -8.851527297049046e-06 | 0.0 |  2.1219841592528368e-09 |  1.0108734222664607e-21 | 0.0 |  1.6112191135114593e-10 | 0.0 | -1.6364048632431002e-12 |  3.2865759105222895e-25 | 0.0 |  1.5596570133429408e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.6641172719324052e-26 | 0.0 | -2.7871852948368717e-11 | -1.2981994322324377e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -0.0005574442094835136 | -4.6376721552243446e-17 | 0.0 |  -0.0001294534540799738 | 0.0 |    0.029776136208636065 |     1.4521098087519e-14 | 0.0 |  -0.0007109532546844741 | 0.0 |   -6.71583824902703e-07 | -2.7832865178824424e-19 | 0.0 | -1.3366826102032617e-08 | 0.0 | -2.6414408173022606e-12 |   5.290882055765383e-24 | 0.0 |  2.4034188333433266e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.1987053040689927e-26 | 0.0 |  -2.523720975244332e-10 |  -1.277022435076129e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -4.276741056132988e-16 | -4.3465147757911193e-29 | 0.0 |  -9.714419329463768e-17 | 0.0 |     1.4521098087519e-14 |  1.5091526664934104e-26 | 0.0 |   7.123136631615421e-16 | 0.0 |  -5.789157387112745e-19 | -2.3965985373380972e-31 | 0.0 |  -1.152641363516751e-20 | 0.0 |   8.715332544651677e-25 |   6.238384010697006e-36 | 0.0 |  3.3860246880268705e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.4461120587279812e-38 | 0.0 | -1.7902883532620086e-22 |  -8.102836422647557e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |  -3.333205649652518e-05 |  -3.241231382143798e-18 | 0.0 |  -8.851527297049046e-06 | 0.0 |  -0.0007109532546844741 |   7.123136631615421e-16 | 0.0 |  0.00042726285949474103 | 0.0 | -1.4915021738092548e-08 |  -6.143796115908281e-21 | 0.0 | -2.9294455861877905e-10 | 0.0 | -1.0307571910323891e-12 |  4.2039495936397895e-25 | 0.0 |   8.800105904306505e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.3553374662937523e-27 | 0.0 |  -8.499470620354263e-12 | -1.4226644935011001e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
