|                        Parameters |                      0 |   1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |   9 |  10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |  17 |  18 |  19 |  20 |                      21 |                      22 |  23 |                      24 |  25 |                     26 |                      27 |  28 |                      29 |  30 |                     31 |                      32 |  33 |                     34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|             diffuse.spectral.norm |     251682.34339933188 | 0.0 | 0.0 |  -5.495678142871376e-15 | 0.0 |      125.75829282675748 |  -0.0030462225847349036 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -9.92356493888856e-13 | 0.0 |     -12401.438357593677 |      2.2419007850736485 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      -666.8886041358693 |  1.1094723920451153e-11 | 0.0 |     -0.3347742958515343 | 0.0 |      9775.849414477954 |  -1.284703975497903e-10 | 0.0 |    0.059485384152681425 | 0.0 |     1200.6074159180407 |  -3.010435685582531e-10 | 0.0 |  -0.024554562393690728 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.amplitude | -5.495678142871376e-15 | 0.0 | 0.0 |  2.5279271592235365e-25 | 0.0 | -1.6236726424165772e-16 | -5.3201518099152944e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.916914356007729e-30 | 0.0 |   -6.38913197852102e-14 | -2.2258098931382514e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.721736921130966e-15 |  1.2222036415794001e-28 | 0.0 |  -6.221353964302534e-17 | 0.0 | 4.1640668142441376e-14 |  -5.893403685526465e-28 | 0.0 | -2.4748040813539634e-18 | 0.0 | 5.4494163146555675e-14 | -3.1626169539433585e-27 | 0.0 | 1.2878688896406969e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.reference |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1958+2846.spectral.alpha |     125.75829282675748 | 0.0 | 0.0 | -1.6236726424165772e-16 | 0.0 |       252720.6911115784 |     0.04813711057637893 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1900921600015083e-13 | 0.0 |      1487.4515076008352 |    -0.26899742864996173 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |         84.455437987782 | -1.3011398352955242e-12 | 0.0 |    0.037791043445275764 | 0.0 |     -1124.041201033091 |  1.4831793118333806e-11 | 0.0 |   -0.007086194584381481 | 0.0 |    -410.83649197580417 |   4.480926905227751e-11 | 0.0 |  0.0017810716404662546 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spectral.beta | -0.0030462225847349036 | 0.0 | 0.0 | -5.3201518099152944e-15 | 0.0 |     0.04813711057637893 |   0.0007377582010527899 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.923809838476935e-16 | 0.0 |       0.055616229733005 |   -0.023279102806807825 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     0.30853191686643666 |   1.104350704361556e-14 | 0.0 |    -0.06538429987131451 | 0.0 |   -0.01964122736002762 | -2.3479152799866994e-14 | 0.0 |  -0.0012842281263118905 | 0.0 |   -0.12626055658516155 | -2.0957920504315342e-14 | 0.0 |   0.010405523280590964 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lon_0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lat_0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.sigma |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
