|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                      6 |   7 |   8 |   9 |  10 |  11 |                     12 |  13 |                     14 |                     15 |  16 |  17 |  18 |  19 |  20 |                      21 |                      22 |  23 |                      24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                     31 |                      32 |  33 |                      34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|             diffuse.spectral.norm |    0.048759351594557486 | 0.0 | 0.0 | -1.6419739330948585e-17 | 0.0 |      -0.011220874463809 |  0.0034417910806591803 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.25062185653902e-17 | 0.0 |   0.013873654393457073 |  0.0021118590093266994 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -0.0002484430722506059 | -1.8447026539792005e-16 | 0.0 |  -3.098157667973391e-05 | 0.0 |  -0.0005200887992521667 |   -9.79271375539594e-16 | 0.0 | -2.9106400616199362e-05 | 0.0 |  -0.000295697000943987 | -2.5259811905693005e-16 | 0.0 | -1.3063059106393655e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.amplitude | -1.6419739330948585e-17 | 0.0 | 0.0 |  3.8971667901628404e-29 | 0.0 | -1.8179398089977417e-15 |  9.836868610820798e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  9.271746628648604e-30 | 0.0 |  1.015143593376509e-15 | 1.1863654496139603e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.170043859957042e-18 |  2.6027062639878182e-30 | 0.0 |   1.916268259730718e-18 | 0.0 |   6.142165394678664e-18 |   7.430013829555679e-30 | 0.0 |  2.2397134059624207e-18 | 0.0 |  6.267825043949949e-18 |   3.907773123625683e-30 | 0.0 |   1.795113213089669e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1958+2846.spectral.alpha |      -0.011220874463809 | 0.0 | 0.0 | -1.8179398089977417e-15 | 0.0 |      3.6260997131996695 |     1.2106312477684984 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  8.095903249164567e-16 | 0.0 |   -0.04761614104907924 |   0.041828929460876484 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.014375536210665882 |   4.263248282029629e-15 | 0.0 |   0.0013928623498880317 | 0.0 |    0.007032899652752649 |   7.029267142443441e-15 | 0.0 |   0.0012036010515619876 | 0.0 |   0.007096877668430944 |   3.926363344510727e-15 | 0.0 |   0.0015228101938498145 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spectral.beta |   0.0034417910806591803 | 0.0 | 0.0 |   9.836868610820798e-15 | 0.0 |      1.2106312477684984 |     11.781890091568037 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  8.542135756447475e-15 | 0.0 |     0.7201810724337996 |     0.1878136484174299 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     0.03811619112292193 |  1.1154878203618403e-14 | 0.0 |    0.004536954450173899 | 0.0 |    0.017580535084972784 |  1.8512558663797814e-14 | 0.0 |    0.004257089255126944 | 0.0 |   0.019545182896675083 |  1.1520632889624137e-14 | 0.0 |    0.004721366000557562 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lon_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lat_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.sigma |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
