|                        Parameters |                       0 |   1 |   2 |                      3 |                       4 |   5 |                      6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                     13 |                      14 |  15 |                      16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |
|             diffuse.spectral.norm |     0.05737843735543931 | 0.0 | 0.0 | -0.0007581943046149519 | -3.4830872590381556e-16 | 0.0 | -7.367456765990614e-05 | 0.0 |  -0.0008573066971897875 |  -1.347043134956718e-15 | 0.0 | -4.1626128824540266e-05 | 0.0 | -0.0006045902222476173 | -4.1549181739148833e-16 | 0.0 | -2.6395614376937132e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.index |  -0.0007581943046149519 | 0.0 | 0.0 |    0.05353429053193294 |    9.66066338875869e-15 | 0.0 | -0.0003270895345488758 | 0.0 |   -0.000671579579233263 |  -5.718355413554546e-16 | 0.0 |  -4.578258097558322e-05 | 0.0 |  8.008987767983372e-06 |   5.499475040413689e-18 | 0.0 |   3.496107168536119e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude | -3.4830872590381556e-16 | 0.0 | 0.0 |   9.66066338875869e-15 |   3.014439907159889e-27 | 0.0 |  7.614629400882403e-16 | 0.0 | -1.6871341384556814e-16 | -2.0219095240247724e-28 | 0.0 | -1.4759154317647646e-17 | 0.0 |  3.676707292027817e-18 |   2.525238296912925e-30 | 0.0 |   1.605059845209195e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |  -7.367456765990614e-05 | 0.0 | 0.0 | -0.0003270895345488758 |   7.614629400882403e-16 | 0.0 |  0.0009430276395524922 | 0.0 |  -6.650202829186106e-05 |  -6.405208743217117e-17 | 0.0 |   -7.70717201542316e-06 | 0.0 |  7.782263284192418e-07 |   5.343939117794461e-19 | 0.0 |   3.398251529620934e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |  -0.0008573066971897875 | 0.0 | 0.0 |  -0.000671579579233263 | -1.6871341384556814e-16 | 0.0 | -6.650202829186106e-05 | 0.0 |     0.03249541726692139 |   1.546248621523954e-14 | 0.0 |   -0.000846745962458454 | 0.0 |  8.374331559572103e-06 |    5.92303375608409e-18 | 0.0 |  3.8161547459576443e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude |  -1.347043134956718e-15 | 0.0 | 0.0 | -5.718355413554546e-16 | -2.0219095240247724e-28 | 0.0 | -6.405208743217117e-17 | 0.0 |   1.546248621523954e-14 |  1.5706449363023162e-26 | 0.0 |   6.669839834534073e-16 | 0.0 |  1.363898462745141e-17 |   9.514842951970937e-30 | 0.0 |   6.090458433493468e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2018+367.spectral.lambda_ | -4.1626128824540266e-05 | 0.0 | 0.0 | -4.578258097558322e-05 | -1.4759154317647646e-17 | 0.0 |  -7.70717201542316e-06 | 0.0 |   -0.000846745962458454 |   6.669839834534073e-16 | 0.0 |  0.00043202257587479333 | 0.0 |  4.268989549997144e-07 |   2.963673804140683e-19 | 0.0 |  1.8928171821764728e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2016+371.spectral.index |  -0.0006045902222476173 | 0.0 | 0.0 |  8.008987767983372e-06 |   3.676707292027817e-18 | 0.0 |  7.782263284192418e-07 | 0.0 |   8.374331559572103e-06 |   1.363898462745141e-17 | 0.0 |   4.268989549997144e-07 | 0.0 |    0.04390278856465555 |   1.175780491248699e-14 | 0.0 |   -0.001411175928979176 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2016+371.spectral.amplitude | -4.1549181739148833e-16 | 0.0 | 0.0 |  5.499475040413689e-18 |   2.525238296912925e-30 | 0.0 |  5.343939117794461e-19 | 0.0 |    5.92303375608409e-18 |   9.514842951970937e-30 | 0.0 |   2.963673804140683e-19 | 0.0 |  1.175780491248699e-14 |   5.994789073224337e-27 | 0.0 |   5.787283177058244e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2016+371.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2016+371.spectral.lambda_ | -2.6395614376937132e-05 | 0.0 | 0.0 |  3.496107168536119e-07 |   1.605059845209195e-19 | 0.0 |  3.398251529620934e-08 | 0.0 |  3.8161547459576443e-07 |   6.090458433493468e-19 | 0.0 |  1.8928171821764728e-08 | 0.0 |  -0.001411175928979176 |   5.787283177058244e-16 | 0.0 |   0.0007986526384123268 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2016+371.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      3HWC J2010+345.spectral.norm |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
