|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                     11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |
|                diffuse.spectral.norm |    0.007650459958156409 | 0.0 | 0.0 |  1.0124682730840682e-05 | -3.2354780560950183e-17 | 0.0 |  -7.165472789176099e-06 | 0.0 |  -1.886649326344123e-05 |   -1.02456295773232e-16 | 0.0 | -1.573225781647717e-06 | 0.0 |  -9.090695575880642e-06 |  -2.200068965773019e-17 | 0.0 |   3.348318779017132e-06 | 0.0 |  -0.0006818941236337311 | -1.2591993012974814e-16 | 0.0 |  2.8493036550232987e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.9934498752795656e-19 | 0.0 |  0.00035991891432098793 |   0.0003329332630710675 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  1.0124682730840682e-05 | 0.0 | 0.0 |    0.005666114035251677 |   8.370063826907467e-16 | 0.0 | -0.00034348800858687717 | 0.0 | -4.2472876298393314e-05 |  -1.835279861967529e-17 | 0.0 |   6.79999312509731e-06 | 0.0 |   0.0001236570673570423 |   8.650276279415243e-17 | 0.0 |  5.7464317976319534e-05 | 0.0 |   -0.005107176644216551 |   9.158378983953454e-16 | 0.0 |  3.0371412589063783e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5975551260056376e-18 | 0.0 |  -0.0025648970415657175 |    0.004668119791132789 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -3.2354780560950183e-17 | 0.0 | 0.0 |   8.370063826907467e-16 |   6.345816995774173e-28 | 0.0 |  1.0238620793751169e-16 | 0.0 | -1.0967081070252411e-17 |  -3.793189182433894e-29 | 0.0 |  -4.45874419352583e-18 | 0.0 | -3.2415901710911684e-17 |  -2.730232377009658e-29 | 0.0 | -1.6622704197066293e-17 | 0.0 |  1.6015219474916902e-15 | -2.8274196001626257e-28 | 0.0 | -4.0260962247992524e-26 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.8094731630832506e-31 | 0.0 |   3.603903730215856e-16 | -1.1809685003239714e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -7.165472789176099e-06 | 0.0 | 0.0 | -0.00034348800858687717 |  1.0238620793751169e-16 | 0.0 |  0.00017771472778219856 | 0.0 |  -9.549756081717928e-06 |   -6.88647507736855e-18 | 0.0 | -5.719640276002857e-06 | 0.0 | -4.5360252494307065e-05 |  -3.579935372259663e-17 | 0.0 | -2.2412491740202148e-05 | 0.0 |   0.0020600269023640845 |  -3.666986211098341e-16 | 0.0 |  -8.314730202095555e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.568565920584046e-19 | 0.0 |   0.0006519763755055702 |  -0.0016713390838149413 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -1.886649326344123e-05 | 0.0 | 0.0 | -4.2472876298393314e-05 | -1.0967081070252411e-17 | 0.0 |  -9.549756081717928e-06 | 0.0 |    0.011286168756107922 |   3.943801605190741e-15 | 0.0 | -0.0004073534598538259 | 0.0 |  -2.262121685263629e-05 |  -3.435677736052283e-18 | 0.0 |   -6.46372774378229e-06 | 0.0 |   0.0026416573830427914 |  -4.558454624321868e-16 | 0.0 |  -6.796083406999291e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.2590993017643443e-18 | 0.0 |    0.002404867044925323 |  -0.0010883071687624397 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |   -1.02456295773232e-16 | 0.0 | 0.0 |  -1.835279861967529e-17 |  -3.793189182433894e-29 | 0.0 |   -6.88647507736855e-18 | 0.0 |   3.943801605190741e-15 |   6.647359547715028e-27 | 0.0 | 3.1483585648632607e-16 | 0.0 |  -1.381174377006864e-17 |  -1.814369965794096e-30 | 0.0 |  -3.989270597580656e-18 | 0.0 |  2.2354329633149982e-15 | -3.8023892746049402e-28 | 0.0 |  -3.993602489855844e-26 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.254569606101584e-31 | 0.0 |   1.760035693646846e-15 |  -7.019949824953444e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
