|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                      9 |  10 |                      11 |  12 |                     13 |                     14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                     30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |
|                diffuse.spectral.norm |    0.006532620936614983 | 0.0 | 0.0 |  -9.831499175100232e-05 | -2.6460127384000156e-17 | 0.0 |  -1.681882633634661e-05 | 0.0 | -0.00010666604299405879 | -1.932625343855102e-16 | 0.0 | -3.6279972563874897e-06 | 0.0 |  -9.19241865296224e-05 | -6.669897332164003e-17 | 0.0 | -2.5845858872019402e-06 | 0.0 | -0.00047949855053355486 | -5.0302039545316106e-17 | 0.0 | -7.182434084756774e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.291880336350017e-21 | 0.0 | -0.0002398619644970705 |  0.00011268635102848593 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -9.831499175100232e-05 | 0.0 | 0.0 |     0.03963367538178502 |   4.087781810838207e-15 | 0.0 |  -0.0005056781699199474 | 0.0 |   -0.000544365034508246 | -5.207551166885122e-16 | 0.0 |   -1.99442671695127e-05 | 0.0 | 1.4096280388516168e-06 | 1.0170007458440888e-18 | 0.0 |   3.972923156250954e-08 | 0.0 |    7.21622300154235e-06 |  7.5704686026506565e-19 | 0.0 | 1.0812083885408724e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.958211358768654e-23 | 0.0 | 3.6094718145485317e-06 | -1.6961086642987678e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -2.6460127384000156e-17 | 0.0 | 0.0 |   4.087781810838207e-15 |    7.52982356709016e-28 | 0.0 |   6.066545270220349e-16 | 0.0 |  -9.697146324884353e-17 | -1.125245887045572e-28 | 0.0 |  -4.673378827248996e-18 | 0.0 |  3.777629812945126e-19 |  2.728521956371726e-31 | 0.0 |  1.0613099274628079e-20 | 0.0 |   1.942170788763997e-18 |  2.0374747389910648e-31 | 0.0 | 2.9094867510600206e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3339871168154972e-35 | 0.0 |   9.71491259309906e-19 |  -4.564586239821779e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  -1.681882633634661e-05 | 0.0 | 0.0 |  -0.0005056781699199474 |   6.066545270220349e-16 | 0.0 |   0.0016811331251350389 | 0.0 | -0.00010241720064171172 | -9.398182225519822e-17 | 0.0 |  -5.371466820551494e-06 | 0.0 | 2.4145199098388436e-07 |  1.740835767273065e-19 | 0.0 |   6.772052836145002e-09 | 0.0 |  1.2345109228695914e-06 |  1.2950718284434718e-19 | 0.0 |  1.849092441090801e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.480237526288456e-24 | 0.0 |  6.175114523670587e-07 | -2.9013425001725097e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -0.00010666604299405879 | 0.0 | 0.0 |   -0.000544365034508246 |  -9.697146324884353e-17 | 0.0 | -0.00010241720064171172 | 0.0 |    0.025838113995778386 | 1.4009198366299723e-14 | 0.0 |  -0.0008014457149656628 | 0.0 |  6.548164967793841e-07 |  6.995786306965311e-19 | 0.0 |    3.49052119398497e-08 | 0.0 |    7.82937407924912e-06 |   8.213406171684076e-19 | 0.0 | 1.1726688534322395e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    5.37789644939035e-23 | 0.0 |  3.916396506106824e-06 | -1.8400037009923366e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -1.932625343855102e-16 | 0.0 | 0.0 |  -5.207551166885122e-16 |  -1.125245887045572e-28 | 0.0 |  -9.398182225519822e-17 | 0.0 |  1.4009198366299723e-14 | 1.6875043378625227e-26 | 0.0 |   4.556741754542085e-16 | 0.0 | 1.8946811482987932e-18 |   1.59424779850883e-30 | 0.0 |    6.94678253226987e-20 | 0.0 |  1.4185599640666736e-17 |  1.4881448478136834e-30 | 0.0 |  2.124789608827174e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.741045891320076e-35 | 0.0 |   7.09601968743714e-18 |  -3.333776465469613e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
