|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                     11 |  12 |  13 |                    14 |  15 |                    16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|                diffuse.spectral.norm |    0.002686876350600678 | 0.0 | 0.0 |  2.0142488806290227e-06 | -5.3550185595793824e-20 | 0.0 |    5.33034173214612e-07 | 0.0 |   5.672314855698004e-07 | -2.8339257009629726e-17 | 0.0 | -3.129089184521108e-08 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |   -7.44168275489509e-05 |  -8.744483659130208e-18 | 0.0 |   4.614067941891946e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.638929777676372e-21 | 0.0 |  -4.671809119363589e-05 |  3.2898929613918574e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  2.0142488806290227e-06 | 0.0 | 0.0 |    0.004703613397761936 |   2.732298833942028e-17 | 0.0 | -0.00037764326919977157 | 0.0 |  -0.0005993404608820585 |  -1.058501813531842e-15 | 0.0 | -0.0002599650808031925 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |   9.804110191736218e-05 | -1.5350208142947333e-17 | 0.0 | -2.5256308627418998e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -7.34312314587001e-20 | 0.0 |  1.0068993312221463e-05 |  -6.256427163780806e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -5.3550185595793824e-20 | 0.0 | 0.0 |   2.732298833942028e-17 |  1.9521965113475882e-30 | 0.0 |    8.03875599321051e-18 | 0.0 |  1.4140735916045282e-17 |  4.9223324958376385e-29 | 0.0 | 4.7696313034323126e-18 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | -1.3122419642216908e-18 |   4.640350878742403e-31 | 0.0 |  1.0592226963569685e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.9118317386505048e-33 | 0.0 | -2.9076162850176442e-18 |  3.0003548002946875e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |    5.33034173214612e-07 | 0.0 | 0.0 | -0.00037764326919977157 |    8.03875599321051e-18 | 0.0 |   0.0004079584824015953 | 0.0 | -0.00015953735625317872 |  -2.233652483028554e-16 | 0.0 | -7.187064496825517e-05 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |  2.9408813752631946e-05 |  -3.896674001145632e-18 | 0.0 |  -5.573253159944165e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.6907917045837702e-20 | 0.0 |  -4.106779370086154e-06 | -1.2652868435738998e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   5.672314855698004e-07 | 0.0 | 0.0 |  -0.0005993404608820585 |  1.4140735916045282e-17 | 0.0 | -0.00015953735625317872 | 0.0 |     0.03815741648154943 |   1.558177178601696e-14 | 0.0 | -0.0006925665309730818 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |    2.94949268145823e-05 |  2.2379050990603036e-17 | 0.0 |   6.399508911314357e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.0060343535148913e-19 | 0.0 | -0.00034750037359689077 |  0.00018184602404455876 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -2.8339257009629726e-17 | 0.0 | 0.0 |  -1.058501813531842e-15 |  4.9223324958376385e-29 | 0.0 |  -2.233652483028554e-16 | 0.0 |   1.558177178601696e-14 |   7.889089549549144e-26 | 0.0 | 2.1106744490602675e-15 | 0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | -1.2034302578238805e-16 |  1.4532816125411746e-28 | 0.0 |   3.847366344218084e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0254461015117411e-30 | 0.0 | -1.3453376882364684e-15 |  1.1424402507689061e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
