|                           Parameters |                      0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                      11 |  12 |                      13 |  14 |                      15 |                     16 |  17 |                     18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                      28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |
|         VER J2020+368.spectral.index |   0.025600335480240387 |  4.3081914830267615e-15 | 0.0 |  -0.0002320420692858055 | 0.0 |  -0.0005358261910887932 |   -4.46037584727462e-16 | 0.0 |    -4.8967698358512e-05 | 0.0 |  2.3568529032195183e-08 |  1.0536524398398187e-20 | 0.0 |  1.7560089459669348e-09 | 0.0 |   1.879615358363417e-12 |    7.7796429726198e-24 | 0.0 | 1.0148873100294362e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.9864491856976857e-26 | 0.0 |  -5.338515283587994e-11 |   3.902958964120415e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | 4.3081914830267615e-15 |   1.323330741448487e-27 | 0.0 |   5.778634144367713e-16 | 0.0 | -1.5885823083167648e-16 | -1.5947205362729868e-28 | 0.0 | -1.6465595312709837e-17 | 0.0 |   7.591115130981406e-21 |   3.362534612688484e-33 | 0.0 |   5.623718561402946e-22 | 0.0 |  -3.081669782845726e-24 |  3.657916791370776e-36 | 0.0 |  5.903913315984628e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.766639571096935e-39 | 0.0 | -3.7920191509977385e-24 |   2.737266783248013e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -0.0002320420692858055 |   5.778634144367713e-16 | 0.0 |    0.000929586968005674 | 0.0 |  -9.686863711271108e-05 |  -7.813528000749556e-17 | 0.0 | -1.1399138912373812e-05 | 0.0 |   3.878932420254235e-09 |  1.7089459218182007e-21 | 0.0 |   3.020553547150728e-10 | 0.0 |  -5.476256407061166e-12 | 2.5358804903865258e-24 | 0.0 |   4.84056908926832e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.299238214921181e-28 | 0.0 |   5.284738376557137e-12 |   3.094746957709357e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -0.0005358261910887932 | -1.5885823083167648e-16 | 0.0 |  -9.686863711271108e-05 | 0.0 |    0.026176230193631005 |  1.2670725285615301e-14 | 0.0 | -0.00033251375607901677 | 0.0 | -3.0467991955950033e-07 | -1.2823985556347935e-19 | 0.0 | -1.3419493810320615e-08 | 0.0 |  -6.857847081179108e-12 | 1.3251163995829782e-23 | 0.0 | 2.8408791967707666e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.972388892787631e-27 | 0.0 |   6.105290656011887e-11 |  1.0245717200372746e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -4.46037584727462e-16 | -1.5947205362729868e-28 | 0.0 |  -7.813528000749556e-17 | 0.0 |  1.2670725285615301e-14 |  1.3000227087079784e-26 | 0.0 |   9.524855823413954e-16 | 0.0 |  -2.626888175113812e-19 | -1.1047522873515795e-31 | 0.0 | -1.1555927149257866e-20 | 0.0 |  2.6994198697528273e-24 |  5.911140755885237e-36 | 0.0 |  1.412756723630459e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.448997066988693e-40 | 0.0 |  -5.568477211820852e-24 |  -2.959945580199799e-23 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |   -4.8967698358512e-05 | -1.6465595312709837e-17 | 0.0 | -1.1399138912373812e-05 | 0.0 | -0.00033251375607901677 |   9.524855823413954e-16 | 0.0 |  0.00048795929568909007 | 0.0 | -1.3105967148591307e-08 |  -5.469449502510497e-21 | 0.0 |  -5.417092969867288e-10 | 0.0 |  1.0035874462628425e-12 | -6.032865371744804e-25 | 0.0 | -8.312362481431704e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.456165347153744e-28 | 0.0 |  -1.623328081191026e-11 | -1.1809245855735666e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
