|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |   9 |  10 |  11 |                     12 |  13 |                     14 |                      15 |  16 |  17 |  18 |  19 |  20 |                      21 |                      22 |  23 |                      24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|             diffuse.spectral.norm |     0.03548093284375347 | 0.0 | 0.0 |  -8.175147140852964e-18 | 0.0 |   -0.003500930629403501 |    0.002104438747836451 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -6.313711722494702e-18 | 0.0 | -0.0007075688876866771 |  -0.0006126559035223028 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.1175079988214636e-05 |  -8.851453314670977e-17 | 0.0 |   4.098351215252692e-06 | 0.0 |    -9.7796807770062e-06 | -2.7011749501991356e-16 | 0.0 |  2.5876455594272574e-08 | 0.0 |  -1.553334966380168e-05 |  -7.456674335585847e-17 | 0.0 |   4.005161098909214e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.amplitude |  -8.175147140852964e-18 | 0.0 | 0.0 |  1.3708763706790414e-29 | 0.0 | -1.2686101049503616e-15 |   4.750991416477375e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  6.124547821514199e-32 | 0.0 |  2.334400318150891e-17 | -1.3014441076688104e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -6.5363927611972105e-18 |  -5.213656980016507e-32 | 0.0 |   8.066792117294782e-19 | 0.0 |  1.8119862289071945e-19 |   1.996373380753941e-30 | 0.0 |   6.488480601399237e-20 | 0.0 |  -2.060764578981596e-18 |  1.3935157140764937e-30 | 0.0 |  1.0983045813044544e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1958+2846.spectral.alpha |   -0.003500930629403501 | 0.0 | 0.0 | -1.2686101049503616e-15 | 0.0 |      0.7145491200286076 |    0.030549751028575847 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.1874504772649342e-16 | 0.0 |    0.06946631872463202 |     0.01566144526873804 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0004033439681069942 |  -8.833989110061133e-16 | 0.0 |  -0.0009711975931560457 | 0.0 |   -0.001963839401820155 | -2.3078338572321466e-15 | 0.0 |  -0.0006723087228785315 | 0.0 |  -0.0012252134764503075 | -1.3753151660781736e-15 | 0.0 |   -0.000705818761735388 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spectral.beta |    0.002104438747836451 | 0.0 | 0.0 |   4.750991416477375e-16 | 0.0 |    0.030549751028575847 |     0.31592701534950735 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.208699139130487e-16 | 0.0 |    0.17939017340618704 |    0.029382993065663995 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -0.0029972822277177635 |  -2.124350574858566e-15 | 0.0 |   -0.001773673783472462 | 0.0 |    -0.00446532741620124 |  -4.285532354327491e-15 | 0.0 |  -0.0015257076634242952 | 0.0 |  -0.0040966639797134245 | -2.3941845081444873e-15 | 0.0 |   -0.001574961509152253 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lon_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lat_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.sigma |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
