|                           Parameters |                       0 |   1 |   2 |                      3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                     28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |
|                diffuse.spectral.norm |    0.010906694804311385 | 0.0 | 0.0 | -0.0001599052303765094 |  -9.386532882394814e-17 | 0.0 | -1.9285937139577564e-05 | 0.0 |  -0.0001541388953968565 |  -2.704736115686169e-16 | 0.0 | -1.1331030179797293e-05 | 0.0 | -0.00011757703219437053 |  -8.747586937414273e-17 | 0.0 |  -7.322207057723742e-06 | 0.0 |   -0.000479602019615279 | -1.4462331977628577e-16 | 0.0 |  -4.512482171236191e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -6.142347408113428e-20 | 0.0 |  -4.906596778942395e-05 |  0.00032424531536419745 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -0.0001599052303765094 | 0.0 | 0.0 |   0.022683136640067828 |   4.768774316487388e-15 | 0.0 |  -0.0006016815826935826 | 0.0 |   -0.000550116354812718 |  -5.213726563815093e-16 | 0.0 |  -4.758609735468939e-05 | 0.0 |    1.73258424161694e-06 |   1.282181636340642e-18 | 0.0 |  1.0377341257741904e-07 | 0.0 |  4.4388703221376095e-06 |  2.1373674199850738e-18 | 0.0 |   8.417223085166562e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  8.269803755974067e-21 | 0.0 |  -3.277038225481301e-05 |  -1.649082722927644e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -9.386532882394814e-17 | 0.0 | 0.0 |  4.768774316487388e-15 |  1.9298316503793677e-27 | 0.0 |   5.345761388940571e-16 | 0.0 | -2.1173370160898032e-16 | -2.4068310998124516e-28 | 0.0 | -2.1343202380594835e-17 | 0.0 |  1.0139769285023638e-18 |     7.5127113686497e-31 | 0.0 |   6.073374384668166e-20 | 0.0 |   2.451352141477122e-18 |   1.255682283663139e-30 | 0.0 | -3.3953486398080866e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 5.2938298267395955e-33 | 0.0 | -2.1234269188643805e-17 |  -1.038060111598156e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -1.9285937139577564e-05 | 0.0 | 0.0 | -0.0006016815826935826 |   5.345761388940571e-16 | 0.0 |   0.0007407019969893488 | 0.0 |  -8.353144006770543e-05 |  -7.799788052961989e-17 | 0.0 | -1.0607605774549762e-05 | 0.0 |  2.0680395545827892e-07 |  1.5260144560117034e-19 | 0.0 |  1.1385333843089523e-08 | 0.0 | -2.8203879823234504e-07 |  2.6318335555387543e-19 | 0.0 | -2.0495087385303207e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 3.3220695817020965e-21 | 0.0 | -1.4518313052631661e-05 |  -5.692245515262264e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -0.0001541388953968565 | 0.0 | 0.0 |  -0.000550116354812718 | -2.1173370160898032e-16 | 0.0 |  -8.353144006770543e-05 | 0.0 |     0.02516179014542458 |  1.3064914688236693e-14 | 0.0 | -0.00047016746193484315 | 0.0 |  1.2321553192782968e-06 |   1.034313191007201e-18 | 0.0 |    8.49746401709972e-08 | 0.0 |   3.700429940268312e-06 |   2.060867346845535e-18 | 0.0 |   -1.32944822006933e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.48151615953529e-21 | 0.0 |  -3.831153046603306e-05 | -1.8219991668115767e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -2.704736115686169e-16 | 0.0 | 0.0 | -5.213726563815093e-16 | -2.4068310998124516e-28 | 0.0 |  -7.799788052961989e-17 | 0.0 |  1.3064914688236693e-14 |  1.4755723799471078e-26 | 0.0 |   9.608392512527993e-16 | 0.0 |  2.4820807988615266e-18 |  1.9540969856117448e-30 | 0.0 |   1.506644071219207e-19 | 0.0 |  -4.081413598771731e-21 |   3.662782927004533e-30 | 0.0 | -1.8756418922044093e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 3.5265071583989385e-32 | 0.0 | -1.5204614694881197e-16 |  -6.173614395132499e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
