|                           Parameters |                       0 |   1 |   2 |                      3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|                diffuse.spectral.norm |    0.006289236720785318 | 0.0 | 0.0 | -7.687529318785667e-05 | -3.6850050501849445e-17 | 0.0 | -1.3009588458392007e-05 | 0.0 | -0.00011396819735797033 | -2.9163885498577856e-16 | 0.0 |  -7.838609907343649e-06 | 0.0 |  -9.426528500025986e-05 | -1.0609877571772764e-16 | 0.0 |  -5.444620819892253e-06 | 0.0 |  -0.0003953782727567819 |  -7.106665567544334e-17 | 0.0 |  -3.36488889395848e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.2804764380883235e-20 | 0.0 |   -0.000252160188533692 |  0.00012817031198276093 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -7.687529318785667e-05 | 0.0 | 0.0 |    0.03952351808316491 |   7.153672897029063e-15 | 0.0 |   0.0003062478388750708 | 0.0 |  -0.0030339765569884643 |  -4.317235364943486e-15 | 0.0 |  -0.0002606181604431315 | 0.0 |  1.2860562082873773e-06 |  1.3623365422976465e-18 | 0.0 |   7.239185506075276e-08 | 0.0 |   4.832771340256876e-06 |   8.686837834695415e-19 | 0.0 |   4.11334275412214e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.787448561143972e-22 | 0.0 |  3.0822481054926664e-06 |  -1.566669173667327e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -3.6850050501849445e-17 | 0.0 | 0.0 |  7.153672897029063e-15 |   2.273688242200917e-27 | 0.0 |  1.1636989542286285e-15 | 0.0 |  -9.308124332252118e-16 | -1.5607635791025935e-27 | 0.0 |  -8.534400709926707e-17 | 0.0 |   5.990666298848167e-19 |  6.4437588426942625e-31 | 0.0 |  3.3845154204321224e-20 | 0.0 |  2.3165918342542338e-18 |   4.163997830708065e-31 | 0.0 | 1.9716655454083597e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3361689846639575e-34 | 0.0 |  1.4774701811407733e-18 |   -7.50978113157432e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -1.3009588458392007e-05 | 0.0 | 0.0 |  0.0003062478388750708 |  1.1636989542286285e-15 | 0.0 |    0.001761760753554539 | 0.0 |  -0.0006125322830589887 |  -7.962840224884531e-16 | 0.0 |  -5.951762971131026e-05 | 0.0 |  2.1956171363432837e-07 |   2.313455702839128e-19 | 0.0 |  1.2208466345146954e-08 | 0.0 |   8.178488252099558e-07 |  1.4700714284604736e-19 | 0.0 |  6.960996786878817e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.717187564202279e-23 | 0.0 |    5.21607176591691e-07 |  -2.651277052612314e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -0.00011396819735797033 | 0.0 | 0.0 | -0.0030339765569884643 |  -9.308124332252118e-16 | 0.0 |  -0.0006125322830589887 | 0.0 |     0.10603099486181224 |   8.734593964484494e-14 | 0.0 |    0.001715570289681943 | 0.0 | -1.7914605732215403e-06 |  2.2305854848850995e-19 | 0.0 | -5.1998683319152045e-08 | 0.0 |   7.164835634403426e-06 |  1.2877836500604087e-18 | 0.0 |  6.097150209853952e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.1326209404572964e-22 | 0.0 |  4.5695781872299805e-06 | -2.3225218817464574e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -2.9163885498577856e-16 | 0.0 | 0.0 | -4.317235364943486e-15 | -1.5607635791025935e-27 | 0.0 |  -7.962840224884531e-16 | 0.0 |   8.734593964484494e-14 |  1.5964095036433303e-25 | 0.0 |  7.0005317506005605e-15 | 0.0 |  -7.786389739131503e-19 |  2.4260109235800916e-30 | 0.0 |  3.1283066910281185e-20 | 0.0 |  1.8334275976148315e-17 |   3.295403924664796e-30 | 0.0 | 1.5602778954314063e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0575047694857627e-33 | 0.0 |  1.1693138712114213e-17 |  -5.943292047405153e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
