|                        Parameters |                       0 |   1 |                       2 |                       3 |   4 |   5 |   6 |   7 |   8 |                      9 |  10 |                      11 |                     12 |  13 |  14 |  15 |  16 |  17 |                      18 |                     19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                     26 |  27 |                      28 |                      29 |  30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |
| PSR J1958+2846.spectral.amplitude |  2.4581582577989044e-29 | 0.0 | -1.3749141374928765e-15 |   4.376849327658116e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.408181555972526e-30 | 0.0 |   5.998943452309795e-16 | -7.072062466583305e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.5613181803599024e-17 |   -7.4607623067611e-30 | 0.0 | -2.4997825105297393e-18 | 0.0 |   4.903683759165039e-19 |  -7.237446923947658e-30 | 0.0 | -3.768583201175893e-18 | 0.0 |  1.0412168154803118e-18 |  -3.410092247566923e-30 | 0.0 | -5.5096507044672396e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.reference |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1958+2846.spectral.alpha | -1.3749141374928765e-15 | 0.0 |       1.986518458970701 |    -0.37449567249644916 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -9.931506051426675e-16 | 0.0 |    -0.25514386166624714 |   -0.06304560040256706 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0047137019703177175 |  9.804925182645516e-16 | 0.0 |  -0.0003687642959213443 | 0.0 |   -0.003986990793600414 | -1.0618947497375585e-15 | 0.0 | 0.00014863891095117092 | 0.0 |   -0.004550867456858629 |  -6.656891702883027e-16 | 0.0 |   0.0006254015763517668 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spectral.beta |   4.376849327658116e-15 | 0.0 |    -0.37449567249644916 |       4.097200660608502 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2.2149354134497176e-16 | 0.0 |     0.09087627507127927 |   -0.12827423922184278 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -0.017528316934670187 | -5.589068844584793e-15 | 0.0 |   -0.002770208023014441 | 0.0 |   -0.004654015059923543 |  -8.003101381296259e-15 | 0.0 | -0.0032908304401622077 | 0.0 |  -0.0048162104667373315 | -3.9730689706479205e-15 | 0.0 |   -0.004266158898092465 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lon_0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lat_0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.sigma |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          PSR J1958+2846.spatial.e |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spatial.phi |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1954+2836.spectral.amplitude |   2.408181555972526e-30 | 0.0 |  -9.931506051426675e-16 |  2.2149354134497176e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2.4139041607687614e-29 | 0.0 |  2.6283736831963396e-15 | 1.9946934129616866e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1501307523742628e-19 |  7.547554607765649e-30 | 0.0 |   9.265088227284491e-18 | 0.0 |   4.366317623884365e-17 |   2.977402224245772e-29 | 0.0 | 3.2601143142223273e-18 | 0.0 |  5.4895967282107726e-17 |   1.848401858726168e-29 | 0.0 |  3.3705015682079387e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
