|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |   8 |   9 |  10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |  17 |  18 |  19 |  20 |                      21 |                      22 |  23 |                      24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|             diffuse.spectral.norm |     0.05091238529670236 | 0.0 | 0.0 | -4.8584748059981176e-18 | 0.0 |  -0.0013320505848450463 |  0.00046473199219919354 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5199987363007807e-14 | 0.0 | -1.1811104118979957e-05 |     -0.8185740097756936 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.00046209447918933944 | -2.7340477187275283e-16 | 0.0 | -4.0274092147261976e-05 | 0.0 |  -0.0007728384693496246 | -1.1125410755425414e-15 | 0.0 | -2.5805270980012546e-05 | 0.0 |  -0.0004197173696210998 |  -3.144639747638445e-16 | 0.0 | -1.0556308893669732e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.amplitude | -4.8584748059981176e-18 | 0.0 | 0.0 |  1.3957519112475933e-29 | 0.0 |  -6.976768019133396e-16 |   3.770326226293747e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.384792948978827e-27 | 0.0 | -1.0415555045443282e-17 |   9.818147781195784e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -5.3743317671501134e-17 | -1.9552164267139535e-29 | 0.0 |  -8.344353120829424e-18 | 0.0 |  -3.722261059960053e-17 | -3.1865010843212134e-29 | 0.0 | -4.9613339321467936e-18 | 0.0 |  -3.755782143726654e-17 | -1.9692568900794358e-29 | 0.0 |  -6.184460275930761e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1958+2846.spectral.alpha |  -0.0013320505848450463 | 0.0 | 0.0 |  -6.976768019133396e-16 | 0.0 |     0.17485076604356548 |   -0.010625191917517476 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4340437285263734e-13 | 0.0 |   0.0003506800779097734 |      1.2776102262353102 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -0.0005522791854707043 | -1.7780137203959477e-16 | 0.0 |  -6.471276690529006e-05 | 0.0 | -0.00013910610977482034 | -2.2173930846001705e-16 | 0.0 |   -6.23408014732326e-05 | 0.0 | -0.00032771782728281207 | -1.7129567746775608e-16 | 0.0 |  -5.499898646658981e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spectral.beta |  0.00046473199219919354 | 0.0 | 0.0 |   3.770326226293747e-16 | 0.0 |   -0.010625191917517476 |    0.031031328760144944 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.807116643905272e-13 | 0.0 |  -0.0006271822615379757 |       3.003185005689858 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -0.004512294667918962 |  -1.605681342966492e-15 | 0.0 |   -0.000666561984950375 | 0.0 |   -0.002788869979054886 |  -2.507772583348962e-15 | 0.0 |  -0.0004302345502941014 | 0.0 |  -0.0030810244397493983 | -1.6055108063487912e-15 | 0.0 |   -0.000504825260918069 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lon_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lat_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.sigma |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
