|                        Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                     11 |  12 |                     13 |                     14 |  15 |                     16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |
|             diffuse.spectral.norm |     0.05628256003901391 | 0.0 | 0.0 |  -0.0007051787268441939 |   -3.23426979948236e-16 | 0.0 |  -7.061523582881264e-05 | 0.0 |  -0.0008526514652822282 | -1.3148722762661953e-15 | 0.0 | -4.605992122899772e-05 | 0.0 | -0.0005791512198050855 | -4.028446237344718e-16 | 0.0 | -2.584129834058932e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.index |  -0.0007051787268441939 | 0.0 | 0.0 |    0.052066604986314206 |   9.193581519654497e-15 | 0.0 | -0.00024159627589536288 | 0.0 |  -0.0006573130265110138 |  -5.555952431966639e-16 | 0.0 | -5.029245585630382e-05 | 0.0 |  7.267082851746125e-06 |  5.052814414467176e-18 | 0.0 | 3.2428378061602244e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude |   -3.23426979948236e-16 | 0.0 | 0.0 |   9.193581519654497e-15 |  2.8234072754287483e-27 | 0.0 |   7.511546707626358e-16 | 0.0 | -1.6067111209786302e-16 | -1.9227550546436272e-28 | 0.0 | -1.552596983522826e-17 | 0.0 | 3.3325013712643743e-18 | 2.3170064534762638e-30 | 0.0 | 1.4864985325434947e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |  -7.061523582881264e-05 | 0.0 | 0.0 | -0.00024159627589536288 |   7.511546707626358e-16 | 0.0 |   0.0009438929324836022 | 0.0 |  -6.739791864150338e-05 |  -6.456802526192806e-17 | 0.0 | -8.434078762660725e-06 | 0.0 |  7.284217971247676e-07 |  5.062331328617095e-19 | 0.0 |  3.248080078478941e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |  -0.0008526514652822282 | 0.0 | 0.0 |  -0.0006573130265110138 | -1.6067111209786302e-16 | 0.0 |  -6.739791864150338e-05 | 0.0 |     0.03335886160483872 |   1.570203672335526e-14 | 0.0 | -0.0008389456622643523 | 0.0 |    8.1358790435627e-06 |  5.825822646959555e-18 | 0.0 |  3.786710460586349e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude | -1.3148722762661953e-15 | 0.0 | 0.0 |  -5.555952431966639e-16 | -1.9227550546436272e-28 | 0.0 |  -6.456802526192806e-17 | 0.0 |   1.570203672335526e-14 |   1.573289107582915e-26 | 0.0 |  7.666473862179851e-16 | 0.0 | 1.2998383511394715e-17 |  9.180791146724646e-30 | 0.0 |  5.931500178190808e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
