|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |  19 |                      20 |                      21 |  22 |  23 |  24 |  25 |  26 |                     27 |                      28 |  29 |                      30 |  31 |                      32 |                      33 |  34 |                      35 |  36 |                      37 |                      38 |  39 |                     40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |   0.0004861998405511553 | -1.2086944809704164e-14 | 0.0 | 0.0 | -0.00010513913710646615 |  5.8682358183894106e-08 |   2.900431321585508e-07 | 0.0 | 0.0 |  1.4936927945476847e-17 | 0.0 |   -0.002015217528299133 |   0.0002923179446943656 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.509214363494659e-18 | 0.0 |   0.0009121568098416943 |   0.0001286324915129043 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.001497355915505147 |  2.4997859176187728e-15 | 0.0 |  0.00018379551706151676 | 0.0 | -0.00037819217797994937 |   9.544465165957617e-17 | 0.0 |  0.00010597265409613715 | 0.0 | -1.3715141005319332e-05 |  3.2235860143944874e-17 | 0.0 |   1.40795545271223e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -1.2086944809704164e-14 |  6.3921164936331205e-25 | 0.0 | 0.0 |  -2.920038106119993e-16 |  4.4305831658675926e-18 |  2.3296480569674547e-17 | 0.0 | 0.0 | -5.9681719999191585e-28 | 0.0 |   7.682884546815039e-14 |  -9.921238432512167e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3057404365239633e-28 | 0.0 | -2.7246597610108054e-14 |  -4.663623259233729e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -5.667606773663243e-14 |  -9.306301494255948e-26 | 0.0 |  -6.960087623183449e-15 | 0.0 |  1.5085255524296434e-14 |  -3.296476585631338e-27 | 0.0 |  -3.878848637114288e-15 | 0.0 |   9.815920973084421e-16 | -1.2027126166891988e-27 | 0.0 | -4.628211202684286e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 | -0.00010513913710646615 |  -2.920038106119993e-16 | 0.0 | 0.0 |     0.07234463304080893 |  -8.432240797870012e-07 |  -5.988159542261778e-07 | 0.0 | 0.0 |  -8.020510943083374e-17 | 0.0 |    0.016954608220953276 |    0.021037569958281824 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.750915924076573e-17 | 0.0 |   -0.008723683913974515 |  -0.0012472681950663675 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0021778128860953203 |  -9.039210951175851e-15 | 0.0 | -0.00019395026267101574 | 0.0 |    0.004417735936727697 | -1.4404597317951622e-15 | 0.0 | -0.00044629582731183534 | 0.0 |   0.0007737719044511328 |  -2.561102390740079e-16 | 0.0 | 1.4826050454298542e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |  5.8682358183894106e-08 |  4.4305831658675926e-18 | 0.0 | 0.0 |  -8.432240797870012e-07 |  1.1044413227351771e-08 |  -1.491773883617736e-09 | 0.0 | 0.0 | -1.3891514020754763e-20 | 0.0 |   2.223255186452302e-06 | -4.5923960369606925e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.8554892198649455e-22 | 0.0 |  -1.618670469802514e-08 | -1.0103939831078466e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.83810578773161e-06 | -2.8612120528073734e-18 | 0.0 |  -2.312267930052524e-07 | 0.0 |   6.200518314324146e-07 |  5.2801067818563845e-20 | 0.0 |  -9.153682371069456e-08 | 0.0 |   8.874357161452358e-08 |  -7.177911460507621e-21 | 0.0 | -4.599104946345315e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |   2.900431321585508e-07 |  2.3296480569674547e-17 | 0.0 | 0.0 |  -5.988159542261778e-07 |  -1.491773883617736e-09 |   7.691220164381731e-07 | 0.0 | 0.0 |  -9.441412856089458e-20 | 0.0 |   8.426615861395856e-06 | -2.4245471318715404e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.744746925646684e-20 | 0.0 |  -8.555505736898735e-06 | -1.2912862947616417e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -7.864662233274861e-06 |   -3.84027616929886e-18 | 0.0 |  -8.926630104641198e-07 | 0.0 |  1.1285453869785697e-06 | -2.3088060593727337e-18 | 0.0 |  -4.623050646356442e-07 | 0.0 |   3.742472031616402e-07 |  -7.010755179389192e-19 | 0.0 | -5.230821464660454e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |  1.4936927945476847e-17 | -5.9681719999191585e-28 | 0.0 | 0.0 |  -8.020510943083374e-17 | -1.3891514020754763e-20 |  -9.441412856089458e-20 | 0.0 | 0.0 |   3.029474925086691e-29 | 0.0 |  -3.329520079688703e-15 |   4.840309283139521e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.366457448735052e-30 | 0.0 |   1.472987418868963e-15 |  2.0873046332052263e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.427961014212605e-15 |   3.976686072753451e-27 | 0.0 |  3.0183572725604567e-16 | 0.0 |  -6.438135960979146e-16 |  1.3040593955419003e-28 | 0.0 |    1.65746335962479e-16 | 0.0 |  -4.297503683636478e-17 |  4.1529224905454677e-29 | 0.0 | 1.9488457948104475e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
