|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |  19 |                      20 |                      21 |  22 |  23 |  24 |  25 |  26 |                      27 |                      28 |  29 |                      30 |  31 |                      32 |                      33 |  34 |                      35 |  36 |                      37 |                      38 |  39 |                      40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |   0.0006988866019846964 |  -7.404931867429127e-17 | 0.0 | 0.0 | -2.7387314820042923e-05 |  -6.785788643193459e-08 |  -4.549518942450218e-06 | 0.0 | 0.0 | -2.8115983436909814e-19 | 0.0 |  0.00012059718094400015 |   5.432583673492379e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.7911102292472747e-20 | 0.0 |  4.8548632481218945e-05 | -1.0013315064497231e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.181298978986581e-07 | -1.5585819291472965e-19 | 0.0 | -1.3353495109685797e-07 | 0.0 |  -6.777705753208016e-06 |  -6.682782534561621e-18 | 0.0 |   -5.05457955774894e-07 | 0.0 |  -6.218637694812662e-06 |   -3.71427524780856e-18 | 0.0 |   -4.11348694188226e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -7.404931867429127e-17 |  2.1030458709066045e-29 | 0.0 | 0.0 |   -4.39255776672126e-18 | -1.1374380740336597e-20 |   -7.63014475458673e-19 | 0.0 | 0.0 | -3.7873964436129224e-32 | 0.0 |   1.626291551304037e-17 |   7.323132296092721e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.7510632009855575e-33 | 0.0 |   8.199635531193917e-18 |  -1.691168789055817e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3781282083885195e-19 |  -2.647974271050827e-32 | 0.0 | -2.2593348923818308e-20 | 0.0 |  -1.140825083866472e-18 | -1.1267806384704928e-30 | 0.0 |  -8.524461128819686e-20 | 0.0 | -1.0456238484696432e-18 |  -6.254789187529566e-31 | 0.0 |   -6.92690873006517e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 | -2.7387314820042923e-05 |   -4.39255776672126e-18 | 0.0 | 0.0 |     0.03470835354755761 |  3.8658505119458334e-07 |   4.664795599154778e-05 | 0.0 | 0.0 |   1.452328161175151e-18 | 0.0 |  -0.0006237520578598467 | -0.00028082997065925953 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.8265571326452644e-19 | 0.0 |  -0.0003274834445016731 |   6.477758164430586e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.0092732525410572e-06 |   6.284668100002784e-19 | 0.0 |   4.815504196631522e-07 | 0.0 |   2.390992188303783e-06 |  2.2801914539505485e-18 | 0.0 |   1.721523418818521e-07 | 0.0 | -7.0296026680673115e-06 | -4.0079543740101355e-18 | 0.0 | -4.3300894895428043e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |  -6.785788643193459e-08 | -1.1374380740336597e-20 | 0.0 | 0.0 |  3.8658505119458334e-07 |  2.4539817599158805e-08 |  -5.183311858821766e-09 | 0.0 | 0.0 |   5.973278281450416e-22 | 0.0 | -2.5629091280747354e-07 |  -1.154201068365524e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.497704243489152e-23 | 0.0 | -1.1317168783282194e-07 |  2.2574461482238835e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.735320121963931e-10 |  1.0027222344302121e-22 | 0.0 |   7.537598991423443e-11 | 0.0 |  -3.161567318040649e-10 |  -3.457359578363805e-22 | 0.0 | -2.6834603440464154e-11 | 0.0 |  3.3814684716107296e-10 |  1.7491025982478365e-22 | 0.0 |  1.7931063095452946e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |  -4.549518942450218e-06 |   -7.63014475458673e-19 | 0.0 | 0.0 |   4.664795599154778e-05 |  -5.183311858821766e-09 |  0.00018357764078649714 | 0.0 | 0.0 |   7.916800954321989e-20 | 0.0 |  -3.397124515732119e-05 | -1.5301966057395143e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.675445160754982e-21 | 0.0 | -1.5110786772068805e-05 |  3.0166607145277835e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.880828228199284e-08 |  1.4411180176167033e-20 | 0.0 |   1.096239682016534e-08 | 0.0 |    2.34371498241829e-08 |   1.884655362926028e-20 | 0.0 |  1.3370087596606884e-09 | 0.0 |  1.0135137863538344e-07 |   5.713449085156645e-20 | 0.0 |    6.14198887778311e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude | -2.8115983436909814e-19 | -3.7873964436129224e-32 | 0.0 | 0.0 |   1.452328161175151e-18 |   5.973278281450416e-22 |   7.916800954321989e-20 | 0.0 | 0.0 |   1.568837702399893e-26 | 0.0 |  -6.658389463685524e-12 | -3.0034787086442104e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.323587867520084e-30 | 0.0 |  -3.709883294290377e-17 |   3.127719998373056e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.6960426501245433e-21 |   3.258421700316898e-34 | 0.0 |  2.9061996890779394e-22 | 0.0 |   1.214773824011303e-20 |   1.200770347723952e-32 | 0.0 |   9.037307693249792e-22 | 0.0 |  1.0803870021480257e-20 |   6.477007839827694e-33 | 0.0 |   7.120472364637161e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
