|                           Parameters |                      0 |                       1 |   2 |   3 |                       4 |                      5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |  19 |                     20 |                      21 |  22 |  23 |  24 |  25 |  26 |                      27 |                      28 |  29 |                     30 |  31 |                      32 |                      33 |  34 |                      35 |  36 |                     37 |                      38 |  39 |                      40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |  0.0010544649149933935 |  -7.362079288830631e-17 | 0.0 | 0.0 |  -2.304859189931923e-05 |  0.0009515001575759342 |  -0.0002888629138212574 | 0.0 | 0.0 |  -5.164675096376297e-19 | 0.0 |   0.0005184677946418331 |    7.08492358889613e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2159549623053981e-15 | 0.0 | -0.0001022921323001065 |  0.00018634382799312383 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.459179090086938e-05 |   3.763141219994268e-18 | 0.0 |  9.165382485386968e-06 | 0.0 |    3.89419322596833e-05 |   8.855079547841554e-18 | 0.0 |   4.818774938008112e-06 | 0.0 | 1.6853884752135266e-05 |  2.8298384500617346e-18 | 0.0 |   5.211948941845555e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -7.362079288830631e-17 |  2.8635077874992944e-29 | 0.0 | 0.0 |  -8.537617899835684e-18 | 1.5350961134768765e-16 | -4.5985908590355026e-17 | 0.0 | 0.0 |  -9.332970263011664e-32 | 0.0 |   8.404217736868176e-17 |  1.5950583144370907e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.8398169514234936e-28 | 0.0 | -8.501786554536845e-18 |   4.489571411917819e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    4.68034630583067e-18 |   1.498616240364895e-30 | 0.0 | 2.8955758481255214e-18 | 0.0 |  1.0472360307507067e-17 |   3.767106550881201e-30 | 0.0 |  1.2977249925509706e-18 | 0.0 |  4.326707524054759e-18 |   1.434492972858099e-30 | 0.0 |   1.447486102277532e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 | -2.304859189931923e-05 |  -8.537617899835684e-18 | 0.0 | 0.0 |    0.005125298047679212 | -0.0003979402419340776 |  -7.486161674235346e-05 | 0.0 | 0.0 | -3.5011437704682796e-19 | 0.0 |   0.0025605935051348904 |  -0.0007208317053314971 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4717609820942013e-15 | 0.0 |  0.0008369186047115762 |   -0.006435886176586561 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -0.0003154449064934864 |  -7.810640326621607e-17 | 0.0 | -0.0001445619997346953 | 0.0 |  -0.0004529626161949422 | -2.0815774891723812e-16 | 0.0 |  -7.304969369578919e-05 | 0.0 |   -0.00026355234479607 | -1.0173910267622005e-16 | 0.0 |   -7.61995159648099e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |  0.0009515001575759342 |  1.5350961134768765e-16 | 0.0 | 0.0 |  -0.0003979402419340776 |    0.01134579957182335 |   0.0006624199230996747 | 0.0 | 0.0 |  -3.945165333997112e-18 | 0.0 |    0.003760061558940506 |   0.0006007630325674513 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.289610596585759e-15 | 0.0 | -0.0012591004340579887 |   0.0017240802024027454 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0001631260867568636 |   3.902831907619272e-17 | 0.0 |  8.291870656970586e-05 | 0.0 |   0.0003278288438548105 |    9.87220501199332e-17 | 0.0 |   4.824664021689798e-05 | 0.0 | 0.00017322003730090948 |   4.553561565062288e-17 | 0.0 |   4.838540771543611e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e | -0.0002888629138212574 | -4.5985908590355026e-17 | 0.0 | 0.0 |  -7.486161674235346e-05 |  0.0006624199230996747 |    0.008381492667122003 | 0.0 | 0.0 |   4.078317712271113e-19 | 0.0 |  -0.0004666244788855534 |  -4.206807682395612e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.360754246981219e-15 | 0.0 | -0.0002931390476531822 |  -5.278451682744831e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.012578995633921e-06 |  -2.255598494738618e-18 | 0.0 | -6.860980324065783e-06 | 0.0 | -2.9900799187743884e-05 | -3.0657560396936482e-18 | 0.0 |   1.182368197524213e-06 | 0.0 |  5.172862470022112e-06 |   2.930953021785687e-18 | 0.0 | -1.5289221955398084e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude | -5.164675096376297e-19 |  -9.332970263011664e-32 | 0.0 | 0.0 | -3.5011437704682796e-19 | -3.945165333997112e-18 |   4.078317712271113e-19 | 0.0 | 0.0 |   6.596682872581197e-32 | 0.0 |  -8.881730572597641e-17 | -1.7985553250029463e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.8688800558235644e-28 | 0.0 |   3.68456058616181e-17 | -2.7286514886716407e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1997252168966162e-18 | -1.7164821570758218e-31 | 0.0 | -5.835445946261495e-20 | 0.0 |   8.214683850057948e-19 |  -6.637406828431286e-31 | 0.0 | -1.9831956737480614e-19 | 0.0 | -5.602313223976258e-19 |   -5.31175267205861e-31 | 0.0 |  -7.587194105116153e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
