|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |                      5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |                      28 |                      29 |  30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |
|     cygnus_background.spectral.index |    0.000568595149334301 | -1.7467263786401888e-17 | 0.0 | 0.0 |    0.00632597253938127 |  1.905559356563494e-05 |  -0.0022909737632533077 | 0.0 | 0.0 |  1.0771238671404839e-15 | 0.0 |   -0.010820516465539103 |  -0.0003693446619860819 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.850039838993269e-05 | -1.0015962458660541e-17 | 0.0 |  -2.086728706090796e-05 | 0.0 |  -4.471214794249649e-05 | -2.1125632963508282e-17 | 0.0 | -1.3001453005708396e-05 | 0.0 | -3.6347542997413095e-05 |  -7.396118410328979e-18 | 0.0 | -1.2698597492771713e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -1.7467263786401888e-17 |   9.779968746435361e-30 | 0.0 | 0.0 |  8.178464145881918e-16 |  3.359763950968187e-18 | -2.9594317993462527e-16 | 0.0 | 0.0 |  1.4060895818189735e-28 | 0.0 | -1.4125197869605986e-15 |  -4.822279289312783e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.649644425253622e-18 | -1.3101169628414836e-30 | 0.0 |  -2.729530627704055e-18 | 0.0 |  -5.849804972571935e-18 | -2.7642754981811292e-30 | 0.0 |  -1.700653889954652e-18 | 0.0 |  -4.756954839367195e-18 |  -9.678940489166236e-31 | 0.0 | -1.6610934826059258e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |     0.00632597253938127 |   8.178464145881918e-16 | 0.0 | 0.0 |     0.8247934105649085 |  -0.012317338576680392 |     -0.0878138241872159 | 0.0 | 0.0 |  -8.584968264234582e-15 | 0.0 |     0.08627443344765227 |     0.00284275591516136 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   0.0003246721624776616 |    5.78670436261699e-17 | 0.0 |  0.00010040949244961541 | 0.0 |  0.00026826639802449994 |   1.743675251773389e-16 | 0.0 |   6.688976765210985e-05 | 0.0 |  0.00017219834380547948 |  4.6321405154701096e-17 | 0.0 |   6.210461184798965e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |   1.905559356563494e-05 |   3.359763950968187e-18 | 0.0 | 0.0 |  -0.012317338576680392 |  0.0034811477637711574 |   -0.011809351384412308 | 0.0 | 0.0 |  -5.074636701956409e-15 | 0.0 |    0.050968792474701326 |   0.0017708303392163739 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.000322237667775399 |  5.5372633068873404e-17 | 0.0 |  0.00011875550431495915 | 0.0 |   0.0002506670447297573 |  1.1175413394273318e-16 | 0.0 |   7.339754579108397e-05 | 0.0 |  0.00021330765930679062 |   4.149308086226168e-17 | 0.0 |   7.228905341296711e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |  -0.0022909737632533077 | -2.9594317993462527e-16 | 0.0 | 0.0 |    -0.0878138241872159 |  -0.011809351384412308 |     0.09056990061994878 | 0.0 | 0.0 | -2.2049834090011995e-15 | 0.0 |    0.022187000284803148 |   0.0006415007871132546 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.133687112901922e-05 |  -1.726188033188518e-17 | 0.0 | -3.5364576009912696e-05 | 0.0 | -0.00012215365724895885 |  -7.069644521914833e-17 | 0.0 |  -2.334655074947914e-05 | 0.0 | -0.00011327564996667421 | -2.3297045149923107e-17 | 0.0 |  -2.319659619952138e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |  1.0771238671404839e-15 |  1.4060895818189735e-28 | 0.0 | 0.0 | -8.584968264234582e-15 | -5.074636701956409e-15 | -2.2049834090011995e-15 | 0.0 | 0.0 |      6.013006829478e-26 | 0.0 |  -6.032571917213287e-13 |  -1.897470299041877e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.868877592968542e-16 |  1.0615672060692856e-28 | 0.0 |    2.31781431557743e-16 | 0.0 |   5.302918169160296e-16 |   2.413911047388076e-28 | 0.0 |  1.4375892609908782e-16 | 0.0 |   4.764409374332387e-16 |   9.088010349732657e-29 | 0.0 |   1.427869222177043e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spectral.alpha |   -0.010820516465539103 | -1.4125197869605986e-15 | 0.0 | 0.0 |    0.08627443344765227 |   0.050968792474701326 |    0.022187000284803148 | 0.0 | 0.0 |  -6.032571917213287e-13 | 0.0 |       6.089290883030135 |      0.1951592938592721 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -0.0058953338980933445 |   -1.06641390436103e-15 | 0.0 |   -0.002328489860363079 | 0.0 |  -0.0053276995976997855 | -2.4251401526566088e-15 | 0.0 |   -0.001444207108483788 | 0.0 |   -0.004787049023598769 |  -9.130773429853003e-16 | 0.0 |  -0.0014344631120301989 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spectral.beta |  -0.0003693446619860819 |  -4.822279289312783e-17 | 0.0 | 0.0 |    0.00284275591516136 |  0.0017708303392163739 |   0.0006415007871132546 | 0.0 | 0.0 |  -1.897470299041877e-14 | 0.0 |      0.1951592938592721 |    0.009024660552953683 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.00020248561761915634 |  -3.643232512522125e-17 | 0.0 |  -7.925128540996422e-05 | 0.0 | -0.00018019179702997605 |  -8.218670920282664e-17 | 0.0 |  -4.916545328430789e-05 | 0.0 | -0.00016071006506679724 | -3.0788222776979796e-17 | 0.0 |  -4.876739682631808e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         PSR J1958+2846.spatial.sigma |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             PSR J1958+2846.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           PSR J1958+2846.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
