|                           Parameters |                       0 |                      1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     cygnus_background.spectral.index |       0.081959892510678 | -5.402000493474714e-15 | 0.0 | 0.0 |  0.00014658895572535998 | -2.1398946795832632e-07 |  -8.162635587795748e-07 | 0.0 | 0.0 | -1.3677066626705175e-05 | -1.2249322624526085e-18 | 0.0 |  -2.115632060790752e-06 | 0.0 |  -0.0001404010247212463 |  -1.218773443184349e-16 | 0.0 | -7.5530457860021695e-06 | 0.0 | -0.00015489422401157452 |  -8.324223780720566e-17 | 0.0 |  -3.699599318595503e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -5.402000493474714e-15 | 3.5798708670507773e-28 | 0.0 | 0.0 |  -2.740777324262638e-18 |   6.528335475193219e-21 |  2.3536208299680658e-20 | 0.0 | 0.0 |  3.6937354065890204e-19 |  3.0969000639580494e-32 | 0.0 |  5.1509931419511035e-20 | 0.0 |  4.1236114797315394e-18 |  3.5407254827385385e-30 | 0.0 |  2.1651604144318362e-19 | 0.0 |   4.346180658416003e-18 |  2.3112743697101123e-30 | 0.0 |   9.957076822558488e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  0.00014658895572535998 | -2.740777324262638e-18 | 0.0 | 0.0 |    0.017130631521642486 | -4.1461276792987405e-07 | -1.3876277653859022e-06 | 0.0 | 0.0 | -1.8517077774794778e-06 | -1.7309951165753755e-19 | 0.0 |  -3.057706476151985e-07 | 0.0 |  -1.787089905131347e-05 | -1.5646472905006954e-17 | 0.0 |  -9.796723309585117e-07 | 0.0 | -2.0412354015950615e-05 | -1.1053714931783332e-17 | 0.0 |   -5.02097941788945e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 | -2.1398946795832632e-07 |  6.528335475193219e-21 | 0.0 | 0.0 | -4.1461276792987405e-07 |  1.9235249432744676e-08 | -2.2758561478353655e-10 | 0.0 | 0.0 | -1.3857136874187258e-10 |  -1.312491948212843e-23 | 0.0 | -2.3354115906836748e-11 | 0.0 |  -1.321778943022907e-09 | -1.1596807994582371e-21 | 0.0 |  -7.267204260416902e-11 | 0.0 | -1.5237649756651077e-09 |  -8.268227676139347e-22 | 0.0 |  -3.769834579967376e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |  -8.162635587795748e-07 | 2.3536208299680658e-20 | 0.0 | 0.0 | -1.3876277653859022e-06 | -2.2758561478353655e-10 |   4.899681655784963e-07 | 0.0 | 0.0 | -1.4010579248684103e-09 | -1.3156959903078675e-22 | 0.0 |  -2.330293483152802e-10 | 0.0 |  -1.338332420884519e-08 |  -1.172965034084989e-20 | 0.0 |  -7.354800082709927e-10 | 0.0 | -1.5341160954275686e-08 |   -8.31482908782803e-21 | 0.0 | -3.7847011649294963e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -1.3677066626705175e-05 | 3.6937354065890204e-19 | 0.0 | 0.0 | -1.8517077774794778e-06 | -1.3857136874187258e-10 | -1.4010579248684103e-09 | 0.0 | 0.0 |     0.03650994758082248 |    1.82422523519991e-15 | 0.0 | -0.00041226903064567447 | 0.0 |  -0.0003296578474580275 | -2.1162503806936414e-16 | 0.0 |  -3.062369567941776e-05 | 0.0 |  1.6583176675113088e-06 |    8.97730885940424e-19 | 0.0 |  4.1021573758215714e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
