|                           Parameters |                       0 |                      1 |   2 |   3 |                      4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                     20 |  21 |                     22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     cygnus_background.spectral.index |     0.09007636783148722 | -6.212839320069784e-15 | 0.0 | 0.0 | -0.0001540449637099198 | -1.5072202228527672e-07 | -4.3746615296259993e-07 | 0.0 | 0.0 |   -1.31745411679263e-05 | -1.1045212021977316e-18 | 0.0 | -2.0739664795331653e-06 | 0.0 |   -0.000145133186971032 | -1.2979290203286305e-16 | 0.0 | -7.4657563029272265e-06 | 0.0 | -0.00016241840766596468 | -8.850080316251554e-17 | 0.0 | -3.906236158341563e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -6.212839320069784e-15 |  4.308438284360392e-28 | 0.0 | 0.0 |  5.541225584464585e-18 |   5.096915282030123e-21 |   1.437804784702855e-20 | 0.0 | 0.0 |   3.877484725393583e-19 |   3.039013886247902e-32 | 0.0 |   5.504892572665741e-20 | 0.0 |   4.584571816481082e-18 |    4.05804109563682e-30 | 0.0 |  2.3041404166378813e-19 | 0.0 |   4.887004851523628e-18 | 2.6368590261732347e-30 | 0.0 | 1.1343660339381795e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -0.0001540449637099198 |  5.541225584464585e-18 | 0.0 | 0.0 |   0.033375316108364785 |   -1.27764081553947e-07 |  -6.240231281745814e-07 | 0.0 | 0.0 |  1.1802626847993868e-06 |  1.0366262405305929e-19 | 0.0 |    1.99139141593069e-07 | 0.0 |  1.2307817931043529e-05 |  1.1100066892564257e-17 | 0.0 |   6.451516383589001e-07 | 0.0 |  1.4317626104000536e-05 |  7.859633756972901e-18 | 0.0 |  3.535108622438658e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 | -1.5072202228527672e-07 |  5.096915282030123e-21 | 0.0 | 0.0 |  -1.27764081553947e-07 |  1.0208943395993098e-08 |  -7.328634534758855e-11 | 0.0 | 0.0 | -1.3546684566103715e-11 |  -1.275694683362431e-24 | 0.0 | -2.5252302836902738e-12 | 0.0 | -1.2982666502963562e-10 |   -1.18857057058791e-22 | 0.0 |  -7.005391108516939e-12 | 0.0 | -1.5942275919826255e-10 | -8.884888220189983e-23 | 0.0 | -4.190151492687725e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e | -4.3746615296259993e-07 |  1.437804784702855e-20 | 0.0 | 0.0 | -6.240231281745814e-07 |  -7.328634534758855e-11 |   9.698113243187135e-07 | 0.0 | 0.0 |   -1.28792908200022e-10 | -1.1448815545085492e-23 | 0.0 | -2.1855813647041635e-11 | 0.0 | -1.3436405292878583e-09 |  -1.216992716889719e-21 | 0.0 |  -7.022099912773538e-11 | 0.0 |  -1.561453256800581e-09 | -8.645095763413286e-22 | 0.0 | -4.045581146105999e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |   -1.31745411679263e-05 |  3.877484725393583e-19 | 0.0 | 0.0 | 1.1802626847993868e-06 | -1.3546684566103715e-11 |   -1.28792908200022e-10 | 0.0 | 0.0 |    0.036179058097343265 |   1.685042594036643e-15 | 0.0 | -0.00042748962283027404 | 0.0 |  -0.0003034917956779005 | -1.9541269624980817e-16 | 0.0 |  -2.708447346584248e-05 | 0.0 |    1.46002845182078e-06 |  7.990257763465415e-19 | 0.0 | 3.5226243487542214e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
