|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     cygnus_background.spectral.index |   0.0025729975821091014 | -1.5278396732848792e-16 | 0.0 | 0.0 | -0.0004426044784841852 |  -1.830330891721828e-08 |   3.045221815994469e-07 | 0.0 | 0.0 | -1.4721897254814027e-05 | -3.0440192881821948e-18 | 0.0 |  -8.728827923332246e-06 | 0.0 | -0.00011919240146808139 |  -9.595008166697208e-17 | 0.0 | -1.9728210963009396e-05 | 0.0 | -0.00013139526824460562 |  -6.061982349207425e-17 | 0.0 | -2.0052565134333584e-05 | 0.0 | -0.00011397394879344896 | -2.1129827612450598e-17 | 0.0 |  -1.333401620753884e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.535592248117015e-18 | 0.0 |    0.003179053506399237 |   -0.002395386775800238 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -1.5278396732848792e-16 |   1.623650524739923e-29 | 0.0 | 0.0 |  4.053544473348264e-18 |  -2.897311624823941e-21 | -1.6960693242138613e-20 | 0.0 | 0.0 |   6.964626357592334e-19 |  1.6528123672225992e-31 | 0.0 |  4.8506291681874855e-19 | 0.0 |  4.0285588875261044e-18 |  1.3832748395026558e-30 | 0.0 |  1.0868176141809535e-18 | 0.0 |  4.0471785492669204e-18 |   6.468050759322421e-31 | 0.0 |  1.1785250051846755e-18 | 0.0 |    -5.7996105600415e-19 |   5.342609641948139e-31 | 0.0 |   6.841244296744476e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.8388304391275206e-31 | 0.0 | -2.0267283878562597e-16 |   1.507451276428642e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -0.0004426044784841852 |   4.053544473348264e-18 | 0.0 | 0.0 |   0.058811305409037916 |  -4.020948977503703e-07 |  -5.426786074112121e-06 | 0.0 | 0.0 |   0.0002931109278816719 |  4.5288305386737883e-17 | 0.0 |  0.00014970850222603387 | 0.0 |   0.0006726590648128928 |   9.030090790351018e-16 | 0.0 |  0.00016729879577650204 | 0.0 |   0.0007220210511250139 |   5.211914070142258e-16 | 0.0 |  0.00015978813924824798 | 0.0 |   0.0004651225596717785 |   3.827088213828731e-16 | 0.0 |  0.00022143570607980397 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.4822558562092934e-17 | 0.0 |   -0.025035726822405957 |    0.026507129740836563 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |  -1.830330891721828e-08 |  -2.897311624823941e-21 | 0.0 | 0.0 | -4.020948977503703e-07 |  2.9058700867078127e-09 |   2.011476715255236e-10 | 0.0 | 0.0 | -1.3614042273768532e-08 | -1.9052112797622156e-21 | 0.0 | -6.5034707626952975e-09 | 0.0 | -2.2060823838390592e-08 |  -3.677660071570279e-20 | 0.0 | -6.0564532442753166e-09 | 0.0 |  -2.341818485952822e-08 | -2.0931058764960056e-20 | 0.0 |  -5.615926160355678e-09 | 0.0 |  3.6977156161566474e-09 |  -1.662532784756402e-20 | 0.0 |  -7.820511629931081e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.9769341935830004e-21 | 0.0 |  1.1703222046704777e-06 |  -9.028841548701655e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |   3.045221815994469e-07 | -1.6960693242138613e-20 | 0.0 | 0.0 | -5.426786074112121e-06 |   2.011476715255236e-10 |  1.3120553161150697e-08 | 0.0 | 0.0 |  -2.819394778434564e-07 | -5.3106065905694126e-20 | 0.0 | -1.6432534969183015e-07 | 0.0 | -1.7944468553513852e-06 | -1.2298803663993997e-18 | 0.0 | -3.4981467989057077e-07 | 0.0 |  -1.915021524187243e-06 |  -7.452240994426771e-19 | 0.0 |  -3.662004794361506e-07 | 0.0 |  -5.786455787126462e-07 |  -3.101722661143994e-19 | 0.0 | -1.1442284287264328e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.536470466650356e-20 | 0.0 |  5.9262182903143134e-05 | -5.1946202322549055e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -1.4721897254814027e-05 |   6.964626357592334e-19 | 0.0 | 0.0 |  0.0002931109278816719 | -1.3614042273768532e-08 |  -2.819394778434564e-07 | 0.0 | 0.0 |    0.009554707416078086 |  2.3035181977468895e-16 | 0.0 |  -0.0007185893130110776 | 0.0 |  5.1637586983387454e-05 |   7.493832824819115e-17 | 0.0 |   1.635008941823828e-05 | 0.0 |   9.536880203745957e-05 |    4.15905065721213e-17 | 0.0 |  1.9943265505809326e-05 | 0.0 |    9.45735144865218e-05 |  1.7371181139115618e-17 | 0.0 |  2.0323447899912585e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.954005902044038e-18 | 0.0 |    -0.00303192470762905 |    0.002116059271305808 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
