|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |
|     cygnus_background.spectral.index |    0.017199396257882874 | -3.5419099786842083e-16 | 0.0 | 0.0 |  -9.681871955867222e-05 | -1.2731693271414254e-06 | -2.9001024878757323e-07 | 0.0 | 0.0 | -2.5106526890719954e-06 | -1.6041413132952393e-19 | 0.0 |  -4.196410548821918e-07 | 0.0 |  -6.480003242720487e-05 |  -7.426346404401241e-17 | 0.0 | -1.5815778880511433e-06 | 0.0 |  -7.987215299777611e-05 | -4.9314604325129813e-17 | 0.0 |   1.415831282264058e-07 | 0.0 | -0.00024987161088080675 |  -8.859910532972671e-18 | 0.0 |  -8.549268456793206e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.123494001325513e-20 | 0.0 |   0.0009258114748039589 |  0.00012462999561816733 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -3.5419099786842083e-16 |   8.398096208507858e-30 | 0.0 | 0.0 | -1.6517483549879777e-18 | -2.0069746534531336e-20 | -4.5852478357889816e-21 | 0.0 | 0.0 |  -4.059185638948904e-20 | -2.6665247679543363e-33 | 0.0 |  -7.024983094116599e-21 | 0.0 | -1.0334260013067522e-18 | -1.1877761241654432e-30 | 0.0 |  -2.550067360556815e-20 | 0.0 | -1.2877867344643668e-18 |  -7.970819874908334e-31 | 0.0 |  2.0758075917231304e-21 | 0.0 |  -3.899060732222822e-18 | -1.3906070065711077e-31 | 0.0 |  -1.386956913870474e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.872029630836847e-34 | 0.0 |  1.4443711933850793e-17 |   1.943857065370164e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -9.681871955867222e-05 | -1.6517483549879777e-18 | 0.0 | 0.0 |     0.11162323220749187 |  -5.206686132923624e-06 |  -2.174619852797927e-06 | 0.0 | 0.0 |   4.158232801486078e-07 |  2.6871861203542895e-20 | 0.0 |    7.05042474927981e-08 | 0.0 |  1.0647152872063949e-05 |  1.2217352409602911e-17 | 0.0 |   2.611549279578976e-07 | 0.0 |  1.3187525140477294e-05 |    8.14999314733919e-18 | 0.0 | -2.2683251291185902e-08 | 0.0 |   4.068753234275931e-05 |  1.4460990162577847e-18 | 0.0 |  1.4128207145968814e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.083663072131457e-21 | 0.0 |  -0.0001506899640236715 | -2.0282296373484117e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 | -1.2731693271414254e-06 | -2.0069746534531336e-20 | 0.0 | 0.0 |  -5.206686132923624e-06 |   5.528224850197139e-07 |  -6.695662372172769e-10 | 0.0 | 0.0 | -1.1063041276127165e-10 |  -7.320135529873727e-24 | 0.0 | -1.9278344586837674e-11 | 0.0 | -2.8429087091870067e-09 | -3.2676728261440064e-21 | 0.0 |  -7.008999445260339e-11 | 0.0 |  -3.542142957988214e-09 | -2.1949160044285165e-21 | 0.0 |   5.025796114237828e-12 | 0.0 | -1.0695105450291974e-08 | -3.8216034233570623e-22 | 0.0 |   -3.93105040933825e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.346829878318954e-24 | 0.0 |   3.994408994247783e-08 |   5.375524598095914e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e | -2.9001024878757323e-07 | -4.5852478357889816e-21 | 0.0 | 0.0 |  -2.174619852797927e-06 |  -6.695662372172769e-10 |   4.081691929236991e-08 | 0.0 | 0.0 |  -8.384122711374974e-11 |   -5.47824107428993e-24 | 0.0 | -1.4483314259528061e-11 | 0.0 | -2.1444637655609265e-09 | -2.4619549437887896e-21 | 0.0 | -5.2684918353160615e-11 | 0.0 |  -2.660784847317772e-09 | -1.6456407784851717e-21 | 0.0 |   4.334600883425285e-12 | 0.0 |  -8.150236242424508e-09 |  -2.900217586773702e-22 | 0.0 |  -2.846574512975362e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0205062037117706e-24 | 0.0 |   3.025591847396282e-08 |  4.0729511639443655e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spatial.edge_width |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -2.5106526890719954e-06 |  -4.059185638948904e-20 | 0.0 | 0.0 |   4.158232801486078e-07 | -1.1063041276127165e-10 |  -8.384122711374974e-11 | 0.0 | 0.0 |    0.021844832759127453 |   5.164590876840505e-16 | 0.0 |  -0.0015507828355771627 | 0.0 |   -8.80672073462119e-05 | -3.5331746250381574e-17 | 0.0 | -3.6484074514928064e-06 | 0.0 |  2.6707054266303116e-07 |   1.635866866876985e-19 | 0.0 |  -6.295045892021435e-10 | 0.0 |   7.980591327290732e-07 |  2.8368346049156477e-20 | 0.0 |   2.779899144017088e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   9.972295219971519e-23 | 0.0 | -2.9560219181464595e-06 | -3.9787584175724006e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
