|                        Parameters |                       0 |                       1 |   2 |                       3 |   4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                     11 |  12 |                      13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |
|      VER J2020+368.spectral.index |     0.11211008417182945 |  1.5771651004266237e-14 | 0.0 |  0.00034788899215152936 | 0.0 |      0.0021795725404886 |  -1.636035864864686e-16 | 0.0 |    0.000135706313886445 | 0.0 |     0.00145740766812401 | 7.3425997659963955e-16 | 0.0 | -0.00019024842811031753 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude |  1.5771651004266237e-14 |   4.016789646707963e-27 | 0.0 |    2.75445629543839e-15 | 0.0 |  2.9310256307584204e-16 | -1.4327075551958072e-28 | 0.0 |  5.3340646020702684e-18 | 0.0 |   2.671148883138592e-16 | 1.0361741603575225e-28 | 0.0 | -3.8496601785510866e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |  0.00034788899215152936 |    2.75445629543839e-15 | 0.0 |    0.005760747683257687 | 0.0 |   0.0003770047867175043 | -4.0030225055531694e-17 | 0.0 | -5.5274197229128855e-05 | 0.0 |   0.0005506926784168397 | -1.464860421940447e-17 | 0.0 |   -0.000106138509552131 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index |      0.0021795725404886 |  2.9310256307584204e-16 | 0.0 |   0.0003770047867175043 | 0.0 |     0.03771164758417343 |   1.138111389829867e-14 | 0.0 |  -0.0023160616525794036 | 0.0 | -0.00014622890212889655 | -7.800419330776643e-17 | 0.0 |  1.8119038641619635e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude |  -1.636035864864686e-16 | -1.4327075551958072e-28 | 0.0 | -4.0030225055531694e-17 | 0.0 |   1.138111389829867e-14 |  1.6563713008454048e-26 | 0.0 |  1.1425818979540648e-15 | 0.0 |  -5.156340860066913e-17 | -2.107040673365535e-29 | 0.0 |   6.913251374004966e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2018+367.spectral.lambda_ |    0.000135706313886445 |  5.3340646020702684e-18 | 0.0 | -5.5274197229128855e-05 | 0.0 |  -0.0023160616525794036 |  1.1425818979540648e-15 | 0.0 |   0.0008440216673612115 | 0.0 |  -5.322916604414951e-05 | 1.6189503733408136e-17 | 0.0 |  1.1986136823905165e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2016+371.spectral.index |     0.00145740766812401 |   2.671148883138592e-16 | 0.0 |   0.0005506926784168397 | 0.0 | -0.00014622890212889655 |  -5.156340860066913e-17 | 0.0 |  -5.322916604414951e-05 | 0.0 |    0.045893153251741724 |    8.9893036357041e-15 | 0.0 |  -0.0032107851146832046 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2016+371.spectral.amplitude |  7.3425997659963955e-16 |  1.0361741603575225e-28 | 0.0 |  -1.464860421940447e-17 | 0.0 |  -7.800419330776643e-17 |  -2.107040673365535e-29 | 0.0 |  1.6189503733408136e-17 | 0.0 |     8.9893036357041e-15 |  7.442054233365743e-27 | 0.0 |   7.681542983521448e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2016+371.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
