|                        Parameters |                       0 |   1 |   2 |                       3 |   4 |                      5 |                       6 |   7 |   8 |   9 |  10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |  17 |  18 |  19 |  20 |                     21 |                      22 |  23 |                      24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|             diffuse.spectral.norm |     0.03010165574694483 | 0.0 | 0.0 |  1.1207341596319307e-16 | 0.0 |   -0.04168469773996336 |    0.020384305146778185 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.939157715339518e-19 | 0.0 |  -5.242885846586012e-05 |    1.37402806423346e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0014004694343516964 | -1.1487587838592894e-15 | 0.0 |  0.00016040616633990307 | 0.0 |  -9.192255177154177e-05 |  -4.463069893710632e-16 | 0.0 | -3.5920006820292487e-06 | 0.0 |  -8.674420310500136e-05 | -1.2495393133896277e-16 | 0.0 |  -1.135113132669419e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.amplitude |  1.1207341596319307e-16 | 0.0 | 0.0 |   1.887158241216711e-27 | 0.0 | -5.343166956922067e-13 |  1.3570932230910442e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0689077664275877e-30 | 0.0 |  1.5212473063262942e-15 |  -4.470271268657838e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.681094154368645e-14 |  -1.255640885601459e-26 | 0.0 |  1.7409735555735683e-15 | 0.0 | -3.5462431855378647e-16 | -5.9611062056032375e-28 | 0.0 |  3.9543718906909863e-17 | 0.0 |  -5.780366978607751e-16 |  -1.430658878718034e-28 | 0.0 |  -1.128187890437569e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1958+2846.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1958+2846.spectral.alpha |    -0.04168469773996336 | 0.0 | 0.0 |  -5.343166956922067e-13 | 0.0 |     167.65800723294706 |     -10.441337590640533 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    5.94508169375632e-16 | 0.0 |     -0.4439590414758542 |     0.12791548842711317 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     4.9269348098185946 |   3.634281662795293e-12 | 0.0 |    -0.44626583545242093 | 0.0 |     0.10964731867005123 |  1.7996301692935257e-13 | 0.0 |   -0.008352957177751467 | 0.0 |      0.1752041276168595 |   4.702087095345719e-14 | 0.0 |     0.03467901602643729 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spectral.beta |    0.020384305146778185 | 0.0 | 0.0 |  1.3570932230910442e-13 | 0.0 |    -10.441337590640533 |      110.66354858346698 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.223031106512284e-16 | 0.0 |     0.17401393683905275 |    -0.04714225933298334 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    -1.8251979671659084 |  -1.452269470759182e-12 | 0.0 |      0.1203687795516492 | 0.0 |    -0.04741649391183387 |  -8.056280150412438e-14 | 0.0 | -0.00015697671883294447 | 0.0 |    -0.08019040547803373 | -2.4385905857433718e-14 | 0.0 |    -0.01646186980174633 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lon_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.lat_0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1958+2846.spatial.sigma |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          PSR J1958+2846.spatial.e |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spatial.phi |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1954+2836.spectral.amplitude |  -2.939157715339518e-19 | 0.0 | 0.0 | -2.0689077664275877e-30 | 0.0 |   5.94508169375632e-16 |  -2.223031106512284e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.492712778349454e-33 | 0.0 |  -6.759596179057012e-18 |   8.483566084266208e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.728766214775608e-17 |   1.342773284022304e-29 | 0.0 | -2.7377470823302005e-18 | 0.0 |   2.774275419277097e-19 |   5.272177026176821e-31 | 0.0 |  -8.966780871110709e-20 | 0.0 |   4.958023459053217e-19 |   6.889694717138082e-32 | 0.0 |      8.920957839288e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| PSR J1954+2836.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     PSR J1954+2836.spectral.alpha |  -5.242885846586012e-05 | 0.0 | 0.0 |  1.5212473063262942e-15 | 0.0 |    -0.4439590414758542 |     0.17401393683905275 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.759596179057012e-18 | 0.0 |     0.01202835964180321 |   0.0004875673122855772 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -0.011712654329875269 |  -9.120770070528243e-15 | 0.0 |    0.002037028324538567 | 0.0 | -0.00016906788713538917 | -3.3137598053704216e-16 | 0.0 |   7.077664425980402e-05 | 0.0 | -0.00031048427302069484 | -2.8710380831583056e-17 | 0.0 | -5.3917860502226216e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      PSR J1954+2836.spectral.beta |    1.37402806423346e-05 | 0.0 | 0.0 |  -4.470271268657838e-16 | 0.0 |    0.12791548842711317 |    -0.04714225933298334 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.483566084266208e-19 | 0.0 |   0.0004875673122855772 |   0.0007179241582729271 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  0.0038096518664480017 |  2.9570475309612237e-15 | 0.0 |  -0.0005894060334335012 | 0.0 |   6.237310886581002e-05 |  1.1686698984553545e-16 | 0.0 | -1.9018937370777658e-05 | 0.0 |  0.00011107678275659918 |  1.6185308611685685e-17 | 0.0 |  2.0150702819514526e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
