|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                     28 |  29 |                 30 |                   31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|                diffuse.spectral.norm |    0.006042364495454117 | 0.0 | 0.0 | -5.9783437935635665e-06 |   9.186298677326362e-19 | 0.0 |   7.089542351385074e-05 | 0.0 |  -7.740622919118657e-05 |  -5.597314938079728e-17 | 0.0 | -1.5886922531724965e-05 | 0.0 |  -0.0001659726139183082 |  -3.599640161343917e-17 | 0.0 |  -5.623658402380801e-06 | 0.0 |  -6.235339903919195e-05 |   8.741156389926692e-16 | 0.0 |    0.007261350274779945 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -5.9783437935635665e-06 | 0.0 | 0.0 |   0.0041526773214775065 |  -5.622684366012175e-16 | 0.0 |  -0.0016190121802368677 | 0.0 |   -0.025330382275560108 |    1.57097802226104e-15 | 0.0 |   0.0037288381064485856 | 0.0 |   0.0016398354290227879 |   3.847034854769589e-16 | 0.0 |   4.129075565454956e-05 | 0.0 |   0.0002976187770372098 | -1.5891159792485458e-13 | 0.0 |     -0.4313217353605667 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |   9.186298677326362e-19 | 0.0 | 0.0 |  -5.622684366012175e-16 |  2.8977140856024705e-28 | 0.0 |   4.977013994870331e-16 | 0.0 |  1.4242692405583395e-15 | -3.6136016036984312e-28 | 0.0 | -3.2693742898362955e-16 | 0.0 | -3.2068052978682707e-16 | -1.7861723916316902e-28 | 0.0 |  -2.650385126402142e-17 | 0.0 | -2.7748922051461794e-16 |  1.5609156041151164e-26 | 0.0 |   4.263774289937994e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   7.089542351385074e-05 | 0.0 | 0.0 |  -0.0016190121802368677 |   4.977013994870331e-16 | 0.0 |   0.0012650917453583593 | 0.0 |    0.006990045889698013 | -7.4321018819283175e-16 | 0.0 |   -0.001220310499285104 | 0.0 |  -0.0009422248344311506 |  -2.975483780957223e-16 | 0.0 |   -7.25025290380836e-05 | 0.0 |  -0.0007430890933532645 |  5.3456136099832514e-14 | 0.0 |      0.1408960781562013 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -7.740622919118657e-05 | 0.0 | 0.0 |   -0.025330382275560108 |  1.4242692405583395e-15 | 0.0 |    0.006990045889698013 | 0.0 |     0.20313120083255484 | -1.1454518670383278e-14 | 0.0 |    -0.02696773006848033 | 0.0 |   -0.007911440207572272 |  -2.464445902176516e-15 | 0.0 |  -0.0005052015849247381 | 0.0 |  0.00027148055712947726 |   1.051864807852938e-12 | 0.0 |      2.9481529989638533 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -5.597314938079728e-17 | 0.0 | 0.0 |    1.57097802226104e-15 | -3.6136016036984312e-28 | 0.0 | -7.4321018819283175e-16 | 0.0 | -1.1454518670383278e-14 |   3.809869733073204e-27 | 0.0 |  1.7731991278288438e-15 | 0.0 |  2.8952529233125023e-16 |  2.5340854635579445e-28 | 0.0 | -2.7662845429634833e-17 | 0.0 |  1.5931547426654555e-16 |  -7.415369609469557e-26 | 0.0 | -2.0177938394344075e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
