|                           Parameters |                       0 |   1 |   2 |                      3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                     30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|                diffuse.spectral.norm |    0.007131897460740952 | 0.0 | 0.0 | -0.0004078673493704217 |  -3.126773291399357e-17 | 0.0 |  0.00010957449177229477 | 0.0 |  -0.0005903256139894848 | -2.5393239108529835e-16 | 0.0 |   8.732063286909977e-05 | 0.0 |  -0.0009051078138795384 |  -6.415129330501313e-17 | 0.0 |   0.0001386938366059844 | 0.0 |  -0.0005672246769882767 | -1.2570997339754434e-17 | 0.0 |  5.7858903205883166e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -1.67523915181836e-20 | 0.0 |   0.001921812290825402 |   0.0009325670169147503 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -0.0004078673493704217 | 0.0 | 0.0 |     0.3193071136290784 |  2.2424564994168244e-14 | 0.0 |   -0.053221059083811306 | 0.0 |   -0.017805929688974757 |   -4.84398161429562e-15 | 0.0 |   0.0020798359677434907 | 0.0 |    0.002068862964081233 |  -6.807083898717367e-16 | 0.0 |  -0.0001428352346110977 | 0.0 |   -0.026532490936335126 |  1.1288855848069175e-15 | 0.0 |    0.007178571270797751 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5081416938531964e-17 | 0.0 |    -1.2205140103729581 |    -0.36202406137909227 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -3.126773291399357e-17 | 0.0 | 0.0 | 2.2424564994168244e-14 |   2.584327077171371e-27 | 0.0 | -2.8566606264524058e-15 | 0.0 | -1.1772116018473625e-15 |   -9.31402709082716e-28 | 0.0 |  1.0695162804433091e-16 | 0.0 | -1.1446294144259662e-16 |  1.2201502317466919e-29 | 0.0 |  1.7056310123700914e-17 | 0.0 | -1.5011630876917586e-15 |   6.174658959789911e-29 | 0.0 |  4.3845562306956786e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0046422821353912e-30 | 0.0 | -7.910249523347161e-14 | -2.2951850156266852e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  0.00010957449177229477 | 0.0 | 0.0 |  -0.053221059083811306 | -2.8566606264524058e-15 | 0.0 |    0.009919058368676714 | 0.0 |    0.002706348988865144 |   5.234871662894475e-17 | 0.0 | -0.00034366274146439076 | 0.0 |  -0.0003556851945519472 |  1.6804311200140162e-16 | 0.0 |  1.2546534830879496e-05 | 0.0 |    0.004953204212117599 | -2.1227778108776846e-16 | 0.0 |  -0.0012676750289680708 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.5703823312576787e-18 | 0.0 |    0.21161343792605714 |     0.06363556052413202 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -0.0005903256139894848 | 0.0 | 0.0 |  -0.017805929688974757 | -1.1772116018473625e-15 | 0.0 |    0.002706348988865144 | 0.0 |     0.17638705001643698 | -3.1444683010215136e-16 | 0.0 |   -0.022869119399842087 | 0.0 |    0.020469045389415127 | -2.8749871790631625e-15 | 0.0 |  -0.0022110970059396884 | 0.0 |    0.012557429525278259 |  -5.508690655226887e-16 | 0.0 |  -0.0030216561262067015 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.891676581915706e-19 | 0.0 |    0.06346117346877009 |     0.02002140894683055 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -2.5393239108529835e-16 | 0.0 | 0.0 |  -4.84398161429562e-15 |   -9.31402709082716e-28 | 0.0 |   5.234871662894475e-17 | 0.0 | -3.1444683010215136e-16 |  1.2183805744447537e-26 | 0.0 |  1.2585088202150112e-15 | 0.0 |   3.280524679129674e-15 |  -2.599525005105523e-28 | 0.0 |  -3.668788404331765e-16 | 0.0 |   4.932515742320506e-16 | -1.8394835103753778e-29 | 0.0 |  -8.470910509152882e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.7161096815397756e-31 | 0.0 |  1.417816912912201e-14 |   3.962153716290966e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
