|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|                diffuse.spectral.norm |    0.005379154151321815 | 0.0 | 0.0 |  -3.191612365355333e-05 | -2.3698190461462794e-17 | 0.0 | -5.7342337596806785e-06 | 0.0 |  -5.197826924087721e-05 |  -1.661084902187901e-16 | 0.0 | -2.8962187611982918e-06 | 0.0 | -4.1803062559699655e-05 |  -5.795474843986003e-17 | 0.0 | -1.1302263366401166e-07 | 0.0 | -0.00019996637248440822 | -1.0666024436681535e-17 | 0.0 |   2.284726955546874e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.252882701397738e-20 | 0.0 |   -0.002733027871764028 | -0.00025522135202618135 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -3.191612365355333e-05 | 0.0 | 0.0 |    0.022397040497145627 |  2.5706778486564616e-15 | 0.0 |  -0.0017717566581162204 | 0.0 | -0.00026161210261440074 |  -2.679252823172855e-16 | 0.0 | -4.4527092896092774e-06 | 0.0 |  3.6485730507239243e-07 |  3.9226191114493034e-19 | 0.0 |  -3.699648620016913e-09 | 0.0 |  1.1864343771972084e-06 |   6.328970656329472e-20 | 0.0 | -1.3552278256312912e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.9295042736784014e-22 | 0.0 |  1.6211579775259067e-05 |   1.513766749929808e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -2.3698190461462794e-17 | 0.0 | 0.0 |  2.5706778486564616e-15 |   8.494242048689986e-28 | 0.0 |  3.6721929110265627e-16 | 0.0 |  -6.057141135486564e-17 | -1.0422702174348547e-28 | 0.0 | -3.4129283072045265e-18 | 0.0 |  2.2396404702556667e-19 |  2.7167004192867656e-31 | 0.0 |  -9.944723097605044e-22 | 0.0 |   8.809565846778303e-19 |   4.699049401265001e-32 | 0.0 | -1.0065104507794025e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4330518003002175e-34 | 0.0 |  1.2040352095749325e-17 |  1.1243910686918526e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -5.7342337596806785e-06 | 0.0 | 0.0 |  -0.0017717566581162204 |  3.6721929110265627e-16 | 0.0 |   0.0010929651161639235 | 0.0 |  -3.954098228353488e-05 | -3.5258513153375735e-17 | 0.0 |  -3.221704847776378e-06 | 0.0 |    6.05298066107871e-08 |   6.838950667650375e-20 | 0.0 |  -4.723916872912359e-10 | 0.0 |  2.1316379431012881e-07 |  1.1369798484709936e-20 | 0.0 | -2.4358474126528668e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.468438010631476e-23 | 0.0 |   2.914158257743766e-06 |    2.72182037106201e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |  -5.197826924087721e-05 | 0.0 | 0.0 | -0.00026161210261440074 |  -6.057141135486564e-17 | 0.0 |  -3.954098228353488e-05 | 0.0 |     0.02400833211819525 |   3.174375119353943e-15 | 0.0 |   -0.001827860829899565 | 0.0 |  -4.091873756083969e-06 | -1.3320432569954332e-18 | 0.0 |    1.65352436178229e-07 | 0.0 |   1.932251958435257e-06 |  1.0306345022510074e-19 | 0.0 | -2.2078569857594793e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -3.1434912978780895e-22 | 0.0 |  2.6411167095423258e-05 |   2.466480316867824e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude |  -1.661084902187901e-16 | 0.0 | 0.0 |  -2.679252823172855e-16 | -1.0422702174348547e-28 | 0.0 | -3.5258513153375735e-17 | 0.0 |   3.174375119353943e-15 |  1.1836157712825604e-26 | 0.0 |   6.146928387836938e-16 | 0.0 |  -2.681374654796933e-18 |   1.831107936578575e-31 | 0.0 |  1.5429986744609452e-19 | 0.0 |   6.174978060793517e-18 |  3.2936720970470964e-31 | 0.0 |  -7.055219547459374e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0044860912828951e-33 | 0.0 |   8.439557523392416e-17 |   7.881193316867161e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
