|                           Parameters |                       0 |   1 |   2 |                      3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                     18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |
|                diffuse.spectral.norm |    0.005924463667687352 | 0.0 | 0.0 |  0.0007133478821393078 | -1.0264394719217975e-17 | 0.0 | -0.00016955731712098356 | 0.0 | -0.00018025207333349834 | -1.8217813395205794e-16 | 0.0 |    9.90875159485128e-06 | 0.0 |    3.44191012263986e-06 |   8.306529951921204e-17 | 0.0 |   4.854059907969055e-05 | 0.0 |  -0.001335667870099424 |   1.704809519285202e-17 | 0.0 | 0.00020607587967929602 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.917450765024821e-20 | 0.0 |  -0.0018499061666486754 |  1.4390456159014097e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |   0.0007133478821393078 | 0.0 | 0.0 |    0.17484196747066408 |   1.535486655348392e-14 | 0.0 |   -0.023767729958779165 | 0.0 |    0.020241914183311425 |  8.3681027604164895e-16 | 0.0 |  -0.0025092240704642364 | 0.0 |    -0.03998803614803216 |   2.035075482850245e-15 | 0.0 |    0.005311184091755237 | 0.0 |  -0.048237548626188224 |  1.9084460135651796e-15 | 0.0 |    0.00855528977591621 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.281053853027021e-18 | 0.0 |    -0.45454256725896885 |     -0.1164534910391651 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -1.0264394719217975e-17 | 0.0 | 0.0 |  1.535486655348392e-14 |  2.3182140730693578e-27 | 0.0 |  -1.134461633914259e-15 | 0.0 |   8.528088555125206e-16 |   1.745121321066187e-28 | 0.0 |  -8.928303871287012e-17 | 0.0 | -2.8330497387697764e-15 |  1.2713609360303484e-28 | 0.0 |   3.673098886954531e-16 | 0.0 | -3.645668681096395e-15 |  1.4375929622500902e-28 | 0.0 |  6.217560889710505e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    5.31971076841619e-31 | 0.0 |  -3.513457300982151e-14 |  -9.280348392898522e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ | -0.00016955731712098356 | 0.0 | 0.0 |  -0.023767729958779165 |  -1.134461633914259e-15 | 0.0 |    0.004470636101986098 | 0.0 |   -0.004303180342692949 |   1.470832149768873e-16 | 0.0 |   0.0005651057793309765 | 0.0 |    0.006177959832765609 | -3.3217215877869416e-16 | 0.0 |  -0.0008336572256540807 | 0.0 |  0.0074552984070075864 | -2.9864071923627203e-16 | 0.0 | -0.0013476324959437985 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1255071725044022e-18 | 0.0 |     0.06818213805416261 |     0.01720086878219282 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index | -0.00018025207333349834 | 0.0 | 0.0 |   0.020241914183311425 |   8.528088555125206e-16 | 0.0 |   -0.004303180342692949 | 0.0 |     0.16335348636340288 |  3.1637917807505627e-15 | 0.0 |   -0.021259170174048703 | 0.0 |    0.018404066295752773 |  -1.739692263457375e-15 | 0.0 |  -0.0025114163678714484 | 0.0 |  0.0054112287358097635 | -2.9638873524234345e-16 | 0.0 |  -0.001306452205376002 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1607664263257804e-18 | 0.0 |    -0.05868718273658241 |   -0.008689429520183518 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -1.8217813395205794e-16 | 0.0 | 0.0 | 8.3681027604164895e-16 |   1.745121321066187e-28 | 0.0 |   1.470832149768873e-16 | 0.0 |  3.1637917807505627e-15 |  1.2894411024613637e-26 | 0.0 |   8.509761266801953e-16 | 0.0 |  1.2931054272027147e-15 |  -4.501032590535627e-28 | 0.0 |  -1.989137341324497e-16 | 0.0 | -8.013125016539821e-16 |  1.1895404539362256e-29 | 0.0 | 1.2588497109535622e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1854834934474792e-32 | 0.0 | -1.3361024593752832e-16 | -3.9512637814429365e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                     0.0 | 0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ |    9.90875159485128e-06 | 0.0 | 0.0 | -0.0025092240704642364 |  -8.928303871287012e-17 | 0.0 |   0.0005651057793309765 | 0.0 |   -0.021259170174048703 |   8.509761266801953e-16 | 0.0 |   0.0031399873258281604 | 0.0 |   -0.002091012989077123 |   1.291040741208189e-16 | 0.0 |  0.00028620262506623125 | 0.0 | -0.0010111450052047704 |  4.5239966958088965e-17 | 0.0 | 0.00022325488737590554 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4793712360238172e-19 | 0.0 |    0.007518348168299494 |   0.0011123621323907108 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
