|                           Parameters |                       0 |   1 |   2 |                       3 |                       4 |   5 |                       6 |   7 |                       8 |                       9 |  10 |                     11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                     21 |  22 |  23 |  24 |  25 |  26 |  27 |                      28 |  29 |                      30 |                      31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|                diffuse.spectral.norm |     0.00628608360778504 | 0.0 | 0.0 | -0.00028857718765788363 |  -1.395572776744453e-17 | 0.0 |  3.0153188560678763e-05 | 0.0 |    0.000554668487109975 | -3.5770965460121235e-17 | 0.0 |  4.176436334800085e-05 | 0.0 |  -5.857866571068458e-05 |  -4.131573618362298e-20 | 0.0 |  -8.592450691032883e-05 | 0.0 | -0.00037797040717597435 |   6.061359566728979e-18 | 0.0 |  5.798122630342811e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7131871830315962e-21 | 0.0 |   0.0006948827065943986 |    0.000692776609897066 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                diffuse.spectral.tilt |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           diffuse.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -0.00028857718765788363 | 0.0 | 0.0 |      1.3088436141335413 |   2.506242369554351e-14 | 0.0 |    -0.24403680646561335 | 0.0 |     -0.6156512177983038 |  2.3648625882019487e-14 | 0.0 |    -0.3257830982824228 | 0.0 |     -0.7090053093500397 |   2.410127913157572e-16 | 0.0 |     -1.3985747822540413 | 0.0 |   -0.053891733158394683 |  2.3631187118917664e-15 | 0.0 |    0.01396253548720944 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.4211364745914344e-17 | 0.0 |     -1.8956459530599288 |     -0.5229704480170403 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -1.395572776744453e-17 | 0.0 | 0.0 |   2.506242369554351e-14 |  6.4178242817038635e-28 | 0.0 |  -4.108578264565165e-15 | 0.0 | -1.1360211819795738e-14 |   4.294708679652425e-28 | 0.0 | -5.874702524765864e-15 | 0.0 |  -1.264701533532309e-14 |    4.28195345770767e-30 | 0.0 |  -2.528120969580673e-14 | 0.0 |   -9.43109402754553e-16 |   4.249703158987685e-29 | 0.0 |  2.514458915304231e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.666394765596964e-31 | 0.0 | -3.5102268734150535e-14 |  -9.875420550438618e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |  3.0153188560678763e-05 | 0.0 | 0.0 |    -0.24403680646561335 |  -4.108578264565165e-15 | 0.0 |     0.04780318309772943 | 0.0 |     0.11682200537682957 |  -4.517097902518426e-15 | 0.0 |   0.062079992844253855 | 0.0 |     0.13612895545082856 |  -4.647854809737295e-17 | 0.0 |     0.26653835464166653 | 0.0 |    0.009617959926885614 | -4.1906702207817824e-16 | 0.0 | -0.0025351682767380903 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.674786414562408e-18 | 0.0 |     0.35933665685545685 |     0.09899166064266261 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |    0.000554668487109975 | 0.0 | 0.0 |     -0.6156512177983038 | -1.1360211819795738e-14 | 0.0 |     0.11682200537682957 | 0.0 |      0.3441259393859105 | -1.4511301390460585e-14 | 0.0 |      0.148434748543467 | 0.0 |     0.33760081603702713 | -1.1555922777059153e-16 | 0.0 |      0.6595419265078024 | 0.0 |    0.013797506658549095 |   -5.23687514917924e-16 | 0.0 | -0.0046544479900012675 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.539067249678804e-18 | 0.0 |      0.9148231805265109 |      0.2675843756380929 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | -3.5770965460121235e-17 | 0.0 | 0.0 |  2.3648625882019487e-14 |   4.294708679652425e-28 | 0.0 |  -4.517097902518426e-15 | 0.0 | -1.4511301390460585e-14 |   7.112171015229464e-28 | 0.0 | -5.509254337579937e-15 | 0.0 | -1.3002587523149875e-14 |    4.40924598920837e-30 | 0.0 | -2.5329253916477963e-14 | 0.0 |  -3.356048136193267e-16 |   1.119089537739859e-29 | 0.0 | 1.4891614067189481e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.4669772247565587e-31 | 0.0 |  -3.543515071972164e-14 | -1.0626303210574618e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
