|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |   9 |                      10 |                      11 |  12 |  13 |  14 |  15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |  22 |  23 |  24 |  25 |                      26 |                      27 |  28 |                      29 |  30 |                      31 |                      32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |                      39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |
|     cygnus_background.spectral.index |    0.000432034516430418 |  -8.103934279656258e-18 | 0.0 | 0.0 |  -0.0006593950144406985 |  -2.392659387329441e-07 | -3.8343618941199936e-07 | 0.0 |  -2.263251418950011e-19 | 0.0 |  0.00010591755545027355 |   6.497595322051293e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1332921278028999e-20 | 0.0 |  2.5638286776718425e-05 | -7.0598047245793345e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.2538151622041037e-07 |  -8.067222234817937e-20 | 0.0 |  -6.762388907546033e-08 | 0.0 |  -4.240667090891443e-06 |  -4.749161649494384e-18 | 0.0 |  -2.821295641096041e-07 | 0.0 |   -3.82606280957571e-06 |   -2.62901796380471e-18 | 0.0 |  -2.117257619804876e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -8.103934279656258e-18 |  4.8628201967704165e-31 | 0.0 | 0.0 | -2.1435160049275296e-17 |  -7.776612578406928e-21 | -1.2462993981716672e-20 | 0.0 |   -7.26682970920956e-33 | 0.0 |   3.401002239412629e-18 |   2.085787731107798e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.694898682181582e-34 | 0.0 |    8.35309405156421e-19 | -2.2999970514883975e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3841504405558476e-20 |   -2.62832212894693e-33 | 0.0 | -2.2016164729358177e-21 | 0.0 | -1.3802089632096298e-19 | -1.5460863059929153e-31 | 0.0 |  -9.184879140071816e-21 | 0.0 | -1.2449070218407422e-19 |  -8.555940876440548e-32 | 0.0 |  -6.890538058564422e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -0.0006593950144406985 | -2.1435160049275296e-17 | 0.0 | 0.0 |     0.19616570333419725 |  -4.538877957007541e-07 |  -9.711081891648507e-07 | 0.0 |   4.938253771596741e-18 | 0.0 |   -0.002311158643293858 |  -0.0014176215773257516 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.488242752063863e-19 | 0.0 |  -0.0005650687817811453 |  0.00015509799857079564 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1041532819963336e-05 |  2.1589488086800022e-18 | 0.0 |  1.7498573247866011e-06 | 0.0 |   8.628118610723341e-05 |   9.668330896357881e-17 | 0.0 |   5.746669590190361e-06 | 0.0 |  1.2571684948864566e-05 |    8.64270801041432e-18 | 0.0 |   6.960840157511948e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |  -2.392659387329441e-07 |  -7.776612578406928e-21 | 0.0 | 0.0 |  -4.538877957007541e-07 |   4.325487439687712e-08 | -4.6076689859757555e-10 | 0.0 |   7.420426160645265e-23 | 0.0 | -3.4735325842648474e-08 |  -2.139643070613816e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4454108029365674e-24 | 0.0 |  -7.815876753681706e-09 |   2.128115063894738e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.939405743439952e-11 |  1.5031669922761402e-23 | 0.0 |  1.0893517321903874e-11 | 0.0 |  -1.165415418398982e-11 |   -1.34484161000169e-23 | 0.0 |   -7.62210867548009e-13 | 0.0 |   3.349365786495293e-10 |  2.2996245698113635e-22 | 0.0 |     1.8559911379679e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e | -3.8343618941199936e-07 | -1.2462993981716672e-20 | 0.0 | 0.0 |  -9.711081891648507e-07 | -4.6076689859757555e-10 |  2.2238104714684314e-07 | 0.0 |   7.313676804359273e-22 | 0.0 | -3.4224451116695547e-07 |  -2.100498006070437e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    3.61075653682797e-23 | 0.0 |  -8.171088149715111e-08 |  2.2420180200243134e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1278237997948755e-09 |  2.1936650247154834e-22 | 0.0 |   1.791514762423746e-10 | 0.0 |   9.315411319975733e-09 |  1.0435022032683041e-20 | 0.0 |    6.20192863867251e-10 | 0.0 |   9.982110254008538e-09 |   6.861068299912149e-21 | 0.0 |   5.525618439472661e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |  -2.263251418950011e-19 |   -7.26682970920956e-33 | 0.0 | 0.0 |   4.938253771596741e-18 |   7.420426160645265e-23 |   7.313676804359273e-22 | 0.0 |   3.739712903311836e-26 | 0.0 | -1.7307104078202203e-11 |  -1.062063794593823e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.209063810874797e-31 | 0.0 | -5.1496282479447895e-17 |   3.406169441643346e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2177015113267642e-21 |  2.2529585352411126e-34 | 0.0 |    2.01103730292154e-22 | 0.0 |  1.0819181051492683e-20 |  1.2098080601011977e-32 | 0.0 |   6.950770116533302e-22 | 0.0 |   8.525134354178438e-21 |   5.859929176940324e-33 | 0.0 |   4.576706085714435e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
