|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                     26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |
|     cygnus_background.spectral.index |    0.020622383061269695 | -5.4091483263510816e-17 | 0.0 | 0.0 |    -0.16228060660638943 |   9.775068333110657e-08 |   -0.017369576161774827 | 0.0 |    -0.04802618326262848 | -1.6515418013609016e-16 | 0.0 |    0.010486808569277896 | 0.0 |   0.0010157617851554522 |  -1.229468111951548e-16 | 0.0 |  -0.0005066483963432169 | 0.0 |    0.004899288820508555 |   1.257664475226148e-16 | 0.0 |  -0.0009181807992617059 | 0.0 |   -0.004113555943324657 |   3.167539406672736e-17 | 0.0 |  0.0003453637429553986 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.786347021120305e-20 | 0.0 |    0.028409832406444152 |    0.009325815592096987 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -5.4091483263510816e-17 |  1.2484086702474665e-30 | 0.0 | 0.0 |  1.9883288354031646e-17 |  -7.805349689129114e-24 |    2.32157356557648e-17 | 0.0 |    6.03583705263539e-16 |  1.6651646575438796e-30 | 0.0 |  -1.405478716094936e-16 | 0.0 |   5.817883691501549e-17 |  1.1654613913250086e-29 | 0.0 | -3.1139996085327325e-18 | 0.0 |   1.562625686656665e-17 |   3.958762036229732e-30 | 0.0 |  3.5181293323085284e-19 | 0.0 |   3.959878521183864e-17 | -1.1241193601725193e-30 | 0.0 | -6.352078203594785e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4106928255457822e-34 | 0.0 |  -3.091301659391179e-16 | -1.7764035613625565e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |    -0.16228060660638943 |  1.9883288354031646e-17 | 0.0 | 0.0 |      2.3952112308735796 | -4.5494067330575314e-07 |    0.021749343303158936 | 0.0 |     0.05772488367584232 |   2.989856181217885e-16 | 0.0 |   -0.010074791036781617 | 0.0 | -0.00038319411196503317 |   7.567600088519761e-16 | 0.0 |    9.73633225286609e-05 | 0.0 |   -0.008584062540495273 |  -1.258382121194854e-15 | 0.0 |   0.0008595618641492272 | 0.0 |    -0.01151001670747264 | -1.2587035160240913e-17 | 0.0 |  0.0011583335310500317 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.6210650356541384e-19 | 0.0 |   -0.028504437511388148 |  -0.0005351284265882243 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |   9.775068333110657e-08 |  -7.805349689129114e-24 | 0.0 | 0.0 | -4.5494067330575314e-07 |   9.660841286661295e-10 | -3.8017668070265516e-08 | 0.0 |  -3.001487843540702e-08 | -1.6835436195056784e-22 | 0.0 |  1.8024745271499823e-09 | 0.0 |  -2.370424182341062e-08 |   7.401176510736365e-20 | 0.0 |  1.0518465666945009e-08 | 0.0 | -1.3988234551194294e-07 |  -5.941197983422884e-20 | 0.0 |  1.0009464305716187e-08 | 0.0 |  -8.252005368463951e-08 |  2.5125541156479475e-21 | 0.0 |  4.194759535265269e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.236636364821154e-25 | 0.0 | -2.4426553709772247e-07 |  -7.666443334845256e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |   -0.017369576161774827 |    2.32157356557648e-17 | 0.0 | 0.0 |    0.021749343303158936 | -3.8017668070265516e-08 |      0.0383237315708695 | 0.0 |     0.07029636253448364 |   2.696997715406038e-16 | 0.0 |   -0.014952032745836983 | 0.0 |   -0.016844441661314172 | -1.7718440098654975e-15 | 0.0 |   0.0028359673669365606 | 0.0 |   -0.023304711897064567 | -1.1195335628317565e-15 | 0.0 |    0.003578056044341431 | 0.0 |    0.001632673194914094 |  1.8393752067635893e-16 | 0.0 |  0.0004952845054434301 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.4587503914981896e-19 | 0.0 |    -0.05746871027636994 |   -0.009443927721632878 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |    -0.04802618326262848 |    6.03583705263539e-16 | 0.0 | 0.0 |     0.05772488367584232 |  -3.001487843540702e-08 |     0.07029636253448364 | 0.0 |      1.3783214623107858 |   4.034329887004886e-15 | 0.0 |    -0.31638709960258005 | 0.0 |    -0.08873196525160792 | -1.4788081003501767e-14 | 0.0 |    0.019875916834139088 | 0.0 |     -0.1761535966703385 |  -9.860259770601722e-15 | 0.0 |     0.02905497592910917 | 0.0 |     0.02912587852103432 |  -1.976376771016582e-16 | 0.0 | -0.0019861980119362426 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.3460173276555697e-18 | 0.0 |     -0.9735242448982193 |    -0.40706505538723303 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude | -1.6515418013609016e-16 |  1.6651646575438796e-30 | 0.0 | 0.0 |   2.989856181217885e-16 | -1.6835436195056784e-22 |   2.696997715406038e-16 | 0.0 |   4.034329887004886e-15 |   2.480362576373507e-29 | 0.0 |  -7.060419082883666e-16 | 0.0 |  -2.089373279179625e-16 | -5.1883599131570626e-30 | 0.0 |   7.980293337741974e-17 | 0.0 |  -7.123096858045972e-16 | -2.3782232114491994e-29 | 0.0 |  1.3293778535816447e-16 | 0.0 |   9.458149116256673e-17 |   3.282321522986728e-30 | 0.0 |  4.971288621541756e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.4404130828020585e-32 | 0.0 | -5.2743229660651574e-15 | -2.0038450154130157e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
