|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                      23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |
|     cygnus_background.spectral.index |    0.020389135599300598 |  -8.586850569778791e-16 | 0.0 | 0.0 |    -0.07786125745851036 |  -5.342429636013438e-06 | -0.00011721796873747903 | 0.0 | -3.1600683747016464e-06 |  -2.105925847301858e-19 | 0.0 |   -5.64440102161791e-07 | 0.0 |  -4.627990241774316e-05 | -5.2229818708253175e-17 | 0.0 | -1.1818856786871915e-06 | 0.0 |   3.575542720225588e-05 |  2.2128505923982517e-17 | 0.0 |  -5.678374609554717e-08 | 0.0 |  0.00010586725388935845 |   3.728380639352236e-18 | 0.0 |  3.0149546479116753e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0682445334743975e-20 | 0.0 |  -0.0003874331063424428 | -5.0720334774415724e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -8.586850569778791e-16 |   9.327607125961649e-29 | 0.0 | 0.0 |  -3.857231509133655e-15 | -2.6762350812378124e-19 |  -5.860326899429846e-18 | 0.0 |  -1.622303585969818e-19 | -1.0954164786101251e-32 | 0.0 |  -2.949650862827483e-20 | 0.0 | -2.4334519625569915e-18 |  -2.753833076236405e-30 | 0.0 |  -6.277702368684802e-20 | 0.0 |  1.5516829859865686e-18 |   9.571406637218045e-31 | 0.0 |  -2.756869975642461e-21 | 0.0 |   5.128643943584784e-18 |  1.7904380944822943e-31 | 0.0 |  1.3611070979425403e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.175301975240416e-34 | 0.0 | -1.8762403007625417e-17 | -2.4565623926734473e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |    -0.07786125745851036 |  -3.857231509133655e-15 | 0.0 | 0.0 |      1.4158012565811504 | -1.7937416596330124e-05 |  -0.0006731015123916064 | 0.0 |   6.910071098552176e-06 |   6.501506527467089e-19 | 0.0 |  1.6733616126979878e-06 | 0.0 |  -0.0004067873975322283 |  -4.602263861842981e-16 | 0.0 | -1.0494819571206053e-05 | 0.0 |  -0.0020438673105313354 | -1.2623498538099717e-15 | 0.0 |  3.5037813979891375e-06 | 0.0 |   -0.006177880086434379 | -2.1628459941198867e-16 | 0.0 | -1.6351032269613732e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.211847302894469e-19 | 0.0 |    0.022522223719935983 |   0.0029507445885351923 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma |  -5.342429636013438e-06 | -2.6762350812378124e-19 | 0.0 | 0.0 | -1.7937416596330124e-05 |  2.1017432106774357e-06 | -1.3185317685772707e-07 | 0.0 | -2.0401193363423663e-09 | -1.5671221907709682e-22 | 0.0 |  -4.144939087112967e-10 | 0.0 |  2.0404971436249656e-08 |   2.326473810389702e-20 | 0.0 |   5.440124463257586e-10 | 0.0 |   1.557777348997223e-07 |    9.63182098802042e-20 | 0.0 | -2.5321356796487837e-10 | 0.0 |   5.426873275790645e-07 |   1.898839079103293e-20 | 0.0 |  1.4267806242425444e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    5.45801501130942e-23 | 0.0 |  -1.978913419264012e-06 | -2.5928003912336787e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e | -0.00011721796873747903 |  -5.860326899429846e-18 | 0.0 | 0.0 |  -0.0006731015123916064 | -1.3185317685772707e-07 |    0.002769052278251803 | 0.0 |   9.270598651246842e-09 |   1.304494219731837e-22 | 0.0 |   4.963476900205618e-10 | 0.0 |  1.3625647324553383e-06 |  1.5484322412262719e-18 | 0.0 |   3.581324772311052e-08 | 0.0 |   1.963520492965559e-06 |   1.217162563904469e-18 | 0.0 | -2.8234893903663456e-09 | 0.0 |   8.359651517505611e-06 |     2.9254653914226e-19 | 0.0 |   2.203340431122053e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.402991928208544e-22 | 0.0 | -3.0465227112365115e-05 |  -3.991466109653267e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -3.1600683747016464e-06 |  -1.622303585969818e-19 | 0.0 | 0.0 |   6.910071098552176e-06 | -2.0401193363423663e-09 |   9.270598651246842e-09 | 0.0 |    0.021850525205129735 |   5.022269478661967e-16 | 0.0 |  -0.0015517025810038141 | 0.0 |  -8.724405304791747e-05 | -3.3768857202786325e-17 | 0.0 | -3.7347580775286325e-06 | 0.0 |     2.7742239690965e-07 |  1.7089543401825594e-19 | 0.0 | -3.2721506392927676e-10 | 0.0 |   8.064419391223886e-07 |  2.8209482414834937e-20 | 0.0 |  2.1271804355398392e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.109441610505553e-23 | 0.0 |  -2.940134474239309e-06 |  -3.853136332482127e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -2.105925847301858e-19 | -1.0954164786101251e-32 | 0.0 | 0.0 |   6.501506527467089e-19 | -1.5671221907709682e-22 |   1.304494219731837e-22 | 0.0 |   5.022269478661967e-16 |    3.57571317114212e-29 | 0.0 |  1.1026512118016427e-16 | 0.0 |  -3.751910973081733e-18 |  -6.628711386453416e-30 | 0.0 |  -5.473241898600672e-19 | 0.0 |   1.774916361896904e-20 |  1.0848890591581713e-32 | 0.0 | -3.6541281874807365e-23 | 0.0 |   5.019698383873922e-20 |   1.755499727525908e-33 | 0.0 |  1.3115157117011338e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   5.041803224986136e-36 | 0.0 |  -1.827768085285414e-19 | -2.3949197025402252e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
