|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |                       5 |                       6 |   7 |                       8 |                       9 |  10 |                      11 |  12 |                      13 |                      14 |  15 |                      16 |  17 |                      18 |                      19 |  20 |                      21 |  22 |                     23 |                      24 |  25 |                      26 |  27 |  28 |  29 |  30 |  31 |  32 |                      33 |  34 |                      35 |                      36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |
|     cygnus_background.spectral.index |    0.010885825056761484 |  -1.089320250916385e-15 | 0.0 | 0.0 | -0.00011435165778305104 | -2.5018763130617936e-05 |   1.082512740309587e-05 | 0.0 |     -0.0850267332879428 |  -5.669496863481345e-16 | 0.0 |     0.01594367171041668 | 0.0 |   -0.007166104794330979 |  3.4868605728097024e-15 | 0.0 |   0.0004611074093577039 | 0.0 |    0.035833901286904876 |   -4.03703964217904e-18 | 0.0 |    0.032193770701444364 | 0.0 |  -0.014951844622338773 |  4.0083263085293373e-16 | 0.0 |    0.002143142307445767 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.6830449156289479e-18 | 0.0 |     0.10640389432888364 |     0.03962482762114011 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -1.089320250916385e-15 |    1.87933964213526e-28 | 0.0 | 0.0 |   6.849260935689849e-18 |   3.221426962372991e-18 |  -3.752116706275515e-18 | 0.0 |   9.620061834837725e-15 |   6.420426437196445e-29 | 0.0 |  -1.823874907002149e-15 | 0.0 |   5.401797159155574e-16 |  -5.050421092800968e-28 | 0.0 | -2.9545756788701415e-17 | 0.0 | -4.0455067698744815e-15 |   4.192393686306544e-31 | 0.0 |  -3.632486548831506e-15 | 0.0 | 2.2415130052656993e-15 |  -7.013930839666987e-29 | 0.0 |  -3.494745935084102e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.8285817801534455e-31 | 0.0 | -1.2429894459824731e-14 |  -4.998932618565155e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 | -0.00011435165778305104 |   6.849260935689849e-18 | 0.0 | 0.0 |   3.800826290118076e-05 |  3.0028603807868383e-07 |   6.658022783916751e-07 | 0.0 |    0.001319527823298941 |   3.627046687126914e-18 | 0.0 |  -0.0003008545244609325 | 0.0 |   0.0012052570187136005 |  -1.817967918838976e-16 | 0.0 | -0.00010060100777572126 | 0.0 |   -0.000743441896444923 |   7.863628864340245e-20 | 0.0 |  -0.0006159862707880424 | 0.0 |  0.0004510599046267899 | -1.3656155914036619e-17 | 0.0 |  -7.121865579153639e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.290185057250035e-20 | 0.0 |  -0.0016555381373635652 |  -0.0007540612278434576 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.sigma | -2.5018763130617936e-05 |   3.221426962372991e-18 | 0.0 | 0.0 |  3.0028603807868383e-07 |   5.881423650783697e-06 | -4.1361436153771737e-07 | 0.0 |   0.0002475759621410965 |  1.5906234755552735e-18 | 0.0 |  -4.615701148315418e-05 | 0.0 |   0.0001547243864542316 |  -1.624187599718564e-17 | 0.0 |  -5.674222421436689e-06 | 0.0 | -0.00011257984264787903 |   1.742513175660093e-20 | 0.0 |  -7.898220533428447e-05 | 0.0 | 1.7364137322867458e-05 |  -6.534219840039073e-19 | 0.0 |  -1.816944066159916e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.380211132864522e-21 | 0.0 | -0.00028691080733615613 | -0.00010194961539489191 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |   1.082512740309587e-05 |  -3.752116706275515e-18 | 0.0 | 0.0 |   6.658022783916751e-07 | -4.1361436153771737e-07 |   5.749858984279016e-05 | 0.0 |  -0.0003814370344502865 | -3.1392684873086562e-18 | 0.0 |   6.648749986836418e-05 | 0.0 |   2.270093132660277e-06 |  2.7594480077855527e-17 | 0.0 |  -8.711874411321758e-07 | 0.0 |  0.00015369791540451573 | -1.2765060326556479e-20 | 0.0 |  0.00015062211015714108 | 0.0 | 0.00022267092742067745 |  -4.247632044756596e-18 | 0.0 |  -3.855855644927228e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.3251014834133664e-21 | 0.0 |    0.000287125057727612 |   0.0002733516836312827 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |     -0.0850267332879428 |   9.620061834837725e-15 | 0.0 | 0.0 |    0.001319527823298941 |   0.0002475759621410965 |  -0.0003814370344502865 | 0.0 |      1.0978489123093902 |   7.490565915593316e-15 | 0.0 |    -0.20667736697182978 | 0.0 |     0.06638883094060713 | -4.0256931603240856e-14 | 0.0 |   -0.004453761057102122 | 0.0 |     -0.4877031055995943 |   5.652191091316424e-17 | 0.0 |    -0.41889555145040963 | 0.0 |    0.20187956758570652 |  -6.260963240361957e-15 | 0.0 |    -0.03219655131342227 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9415878948586626e-17 | 0.0 |      -1.387453033224163 |     -0.5722236501720944 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  -5.669496863481345e-16 |   6.420426437196445e-29 | 0.0 | 0.0 |   3.627046687126914e-18 |  1.5906234755552735e-18 | -3.1392684873086562e-18 | 0.0 |   7.490565915593316e-15 |   5.852873944038054e-29 | 0.0 |  -1.378876353263594e-15 | 0.0 |  2.1759149318816762e-16 | -2.5597699139232005e-28 | 0.0 | -1.3440163635206469e-17 | 0.0 |  -3.307936487561096e-15 |  3.8130869245144494e-31 | 0.0 | -2.8230015140097197e-15 | 0.0 | 1.3348654125180659e-15 | -4.2785091392387907e-29 | 0.0 | -2.1760264765977714e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2815243578659595e-31 | 0.0 |  -9.405486680429997e-15 |  -3.933006959013545e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
