|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |  19 |                     20 |                      21 |  22 |  23 |  24 |  25 |  26 |                      27 |                      28 |  29 |                      30 |  31 |                      32 |                     33 |  34 |                      35 |  36 |                      37 |                     38 |  39 |                      40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |     0.05908639137062563 | -1.8561211345382825e-15 | 0.0 | 0.0 |      0.3520565902001167 | 0.0 |  -5.050558077372671e-06 | 0.0 | 0.0 |  -4.738445259114743e-20 | 0.0 |    0.001473332896748435 | -3.0983279650805794e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1487191736049227e-17 | 0.0 |   0.016085722480115666 |  1.0777493581006892e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     0.04630157623475257 |  -3.434476311094867e-15 | 0.0 |   0.0002910911730788592 | 0.0 |   -0.009211079151040845 |  5.727057487428591e-16 | 0.0 |  2.8572752547038124e-08 | 0.0 |    -0.03727044348305584 |  1.030598174191541e-15 | 0.0 | -3.3608738269978645e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -1.8561211345382825e-15 |  1.3170652916829203e-28 | 0.0 | 0.0 |   4.371775669670381e-17 | 0.0 |   1.841824193078149e-21 | 0.0 | 0.0 |  -9.917908675674608e-32 | 0.0 |  2.3328603330799454e-16 |  1.1634860096425823e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  4.6375231292552114e-32 | 0.0 | -7.625418542901116e-18 |  -5.037983028296515e-19 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.610082233172214e-17 |  -7.650850201079901e-29 | 0.0 |  -8.927333214652862e-19 | 0.0 |  3.1408578619967288e-18 |  -7.30508341174254e-30 | 0.0 |  -4.964939264141196e-20 | 0.0 |  1.1029910061615619e-17 | -7.850836125112941e-30 | 0.0 | -2.0421645191055103e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |      0.3520565902001167 |   4.371775669670381e-17 | 0.0 | 0.0 |      4.3526680631538115 | 0.0 |  -5.214407195252856e-06 | 0.0 | 0.0 | -2.2824800245402023e-17 | 0.0 |    -0.06736741276038624 |  1.3296216158668302e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -6.645930539856205e-17 | 0.0 |   -0.04415589419721318 |  0.00016756621522639122 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |      0.6239826020264357 | -3.7783266330082314e-14 | 0.0 |   0.0012269545682494795 | 0.0 |   -0.012443698971521856 | 2.4918307411787767e-15 | 0.0 |  -5.248926953061874e-06 | 0.0 |   -0.042485575197012765 | 2.0433947902785347e-15 | 0.0 |  -3.999357566002232e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -5.050558077372671e-06 |   1.841824193078149e-21 | 0.0 | 0.0 |  -5.214407195252856e-06 | 0.0 |    7.69858269436206e-08 | 0.0 | 0.0 |  -4.189270038269671e-22 | 0.0 |   3.687985166381319e-07 |   5.942876750257762e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.0232994898398645e-20 | 0.0 | -7.364068404594544e-06 |  -4.582587057230821e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  5.6014111402845535e-06 |   -6.99076870267624e-19 | 0.0 |  -4.634982551271086e-09 | 0.0 |  -4.770826327596225e-07 | -5.376169113394815e-20 | 0.0 | -2.4827017773290963e-10 | 0.0 | -1.4036116159489682e-06 | -1.536409364441602e-20 | 0.0 | -1.0189042212491203e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |  -4.738445259114743e-20 |  -9.917908675674608e-32 | 0.0 | 0.0 | -2.2824800245402023e-17 | 0.0 |  -4.189270038269671e-22 | 0.0 | 0.0 |  4.1428303867656645e-30 | 0.0 | -1.8860643093693934e-16 |  -9.449536143978523e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   8.536582491545014e-33 | 0.0 |  -8.72914148914232e-18 | -1.0152640884228651e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.620131601376579e-18 |   2.532241500111273e-30 | 0.0 |  -8.972180434957525e-20 | 0.0 |  -8.111267675910985e-19 | -4.259678457525626e-32 | 0.0 |    4.99744082955016e-21 | 0.0 | -2.2595959339545747e-18 |  5.623445944614151e-31 | 0.0 |  2.3220384820085204e-21 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
