|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |   5 |                       6 |   7 |   8 |                       9 |  10 |                      11 |                      12 |  13 |  14 |  15 |  16 |  17 |                      18 |  19 |                      20 |                      21 |  22 |  23 |  24 |  25 |  26 |                      27 |                      28 |  29 |                      30 |  31 |                      32 |                      33 |  34 |                      35 |  36 |                      37 |                      38 |  39 |                      40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |      44186434227.993355 |  -9.776189531342259e-17 | 0.0 | 0.0 | -0.0008646372711763775 | 0.0 |  1.6878345899974473e-06 | 0.0 | 0.0 |  1.2592387871584545e-15 | 0.0 |     0.10640735625078829 |      0.8376756502249763 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.8626995014898083e-17 | 0.0 |     0.08250469631486448 |     0.04790346314404768 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.010102389648674532 |   5.598980871357039e-15 | 0.0 |    0.006366177678136237 | 0.0 |   0.0019788044053565316 | -2.0226780510506785e-16 | 0.0 |  0.00031450442893007387 | 0.0 |    0.002769384871942485 |  1.5137134628054295e-15 | 0.0 |  0.00047486842900649155 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -9.776189531342259e-17 |   4.286152475847076e-20 | 0.0 | 0.0 |  6.460977085763839e-17 | 0.0 |  -8.362748855947986e-20 | 0.0 | 0.0 |  -4.923413353828281e-29 | 0.0 | -3.6321565154785965e-15 | -2.8741724550042276e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3288985870088735e-30 | 0.0 | -3.3345548643437632e-15 |  -1.917707380135026e-15 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.157038824774938e-16 | -2.2382953555070527e-28 | 0.0 |   -2.52422933821467e-16 | 0.0 |  -8.386917770512435e-17 |  -6.877586645846616e-32 | 0.0 | -1.2920625961616994e-17 | 0.0 |  -1.203723763570565e-16 |  -6.670383574749261e-29 | 0.0 | -1.8895519753045367e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |  -0.0008646372711763775 |   6.460977085763839e-17 | 0.0 | 0.0 |      1735158366.934321 | 0.0 |  1.3054178864952408e-06 | 0.0 | 0.0 |   8.183514895152481e-16 | 0.0 |     0.07737620283713764 |      0.6047685546157285 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.2133084649282523e-17 | 0.0 |     0.05220305021186908 |    0.031719440906828655 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    0.005933552209378008 |  3.3780065202617157e-15 | 0.0 |     0.00393348507408259 | 0.0 |    0.000898402175687582 |   -2.16559649336657e-16 | 0.0 |  0.00021632884140118785 | 0.0 |    0.001574692115392566 |   8.156677761427212e-16 | 0.0 |   0.0002848226349163696 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  1.6878345899974473e-06 |  -8.362748855947986e-20 | 0.0 | 0.0 | 1.3054178864952408e-06 | 0.0 |      353.01815821809083 | 0.0 | 0.0 | -1.1214453713594415e-18 | 0.0 | -0.00010745986343389497 |  -0.0008433052056884243 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.826797483660012e-20 | 0.0 |    -6.9820368037552e-05 |  -4.157863116226926e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.283720810144632e-06 | -4.7386993814342895e-18 | 0.0 | -5.4693445605990684e-06 | 0.0 | -1.5771917440417333e-06 |  3.3750594258118027e-19 | 0.0 |   -2.73236762028096e-07 | 0.0 | -2.1795852844870717e-06 |  -1.180639310504352e-18 | 0.0 | -4.1870849594548985e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.amplitude |  1.2592387871584545e-15 |  -4.923413353828281e-29 | 0.0 | 0.0 |  8.183514895152481e-16 | 0.0 | -1.1214453713594415e-18 | 0.0 | 0.0 |   4.417874121794021e-22 | 0.0 |  -7.344837377988612e-14 |  -5.503687201470638e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4023478413237821e-29 | 0.0 | -4.6608248662630586e-14 | -2.6997437308465474e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -6.3389646109310546e-15 |  -3.588679451567082e-27 | 0.0 |  -4.077541622281906e-15 | 0.0 |  -9.001961406978396e-16 |  2.7926730871975444e-28 | 0.0 | -2.0362398524330787e-16 | 0.0 | -1.4654093377657548e-15 |  -7.721261151570825e-28 | 0.0 | -2.7963811934663285e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    PSR J1958+2846.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        PSR J1958+2846.spectral.alpha |     0.10640735625078829 | -3.6321565154785965e-15 | 0.0 | 0.0 |    0.07737620283713764 | 0.0 | -0.00010745986343389497 | 0.0 | 0.0 |  -7.344837377988612e-14 | 0.0 |      441863655.61374336 |      -49.42041960031159 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.919469891512927e-15 | 0.0 |      -5.180152680356776 |     -3.0130562438392934 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |     -0.6439407200770169 | -3.5608701275971804e-13 | 0.0 |    -0.40227631664182467 | 0.0 |    -0.11852249649374907 |   8.713246603105495e-15 | 0.0 |    -0.01779653279906575 | 0.0 |    -0.15747646401547458 |  -8.786584120275331e-14 | 0.0 |   -0.028364520678270028 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
