|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                      6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |
|     cygnus_background.spectral.index |      0.3327606488762382 | -2.2315885912895442e-14 | 0.0 | 0.0 |   0.0029411900097588532 | 0.0 | -1.740504364937433e-06 | 0.0 | 0.0 | -5.8945730820165873e-08 |   -8.05663441984973e-21 | 0.0 | -4.8290059916014285e-09 | 0.0 |  -6.798423296746333e-07 |  -8.888814027115796e-19 | 0.0 |  -1.490245781894779e-08 | 0.0 | -2.7776045178814314e-06 | -1.8594618655579215e-18 | 0.0 |    1.19105156009697e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -2.2315885912895442e-14 |  1.5046794493596855e-27 | 0.0 | 0.0 | -1.4783697027976068e-16 | 0.0 |  8.405507989926815e-20 | 0.0 | 0.0 |  2.9421535141515267e-21 |  3.7896444126620344e-34 | 0.0 |  1.9432730328899213e-22 | 0.0 |  3.1587633780885836e-20 |  4.1298957961863356e-32 | 0.0 |   6.980127492782507e-22 | 0.0 |  1.2743700060244207e-19 |   8.530472196985549e-32 | 0.0 | -5.4289526879789555e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   0.0029411900097588532 | -1.4783697027976068e-16 | 0.0 | 0.0 |    0.007839993785293802 | 0.0 |  9.017787014913605e-08 | 0.0 | 0.0 |  1.1839767924940978e-07 |  1.8934327496198776e-20 | 0.0 |  1.5381599116008874e-08 | 0.0 |  1.6427388513632655e-06 |  2.1474155710652168e-18 | 0.0 |   3.535106107314333e-08 | 0.0 |  7.0323245344224465e-06 |   4.708895835372595e-18 | 0.0 |  -3.057628171165105e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -1.740504364937433e-06 |   8.405507989926815e-20 | 0.0 | 0.0 |   9.017787014913605e-08 | 0.0 | 1.9489298230240773e-08 | 0.0 | 0.0 |   5.853897907268217e-11 |   9.495555614025235e-24 | 0.0 |    7.81646662409199e-12 | 0.0 |   7.155493627884804e-10 |   9.369144781178427e-22 | 0.0 |  1.5518767151535382e-11 | 0.0 |  2.3530817870108263e-09 |  1.5791182298051393e-21 | 0.0 |  -9.912235511132341e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index | -5.8945730820165873e-08 |  2.9421535141515267e-21 | 0.0 | 0.0 |  1.1839767924940978e-07 | 0.0 |  5.853897907268217e-11 | 0.0 | 0.0 |    0.025862579290907173 |  1.9630800141208176e-15 | 0.0 |  -0.0010994910047872055 | 0.0 | -0.00022461872421870765 | -2.0593843254387875e-16 | 0.0 | -1.1113029126865121e-05 | 0.0 |   8.295636907020563e-08 |  3.7056099641269905e-20 | 0.0 |  -1.981042713847325e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
