|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                     25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |
|     cygnus_background.spectral.index |     0.00702979809557144 |   -4.27723505224769e-16 | 0.0 | 0.0 |   0.0004606414397107317 | 0.0 |  -9.428661439074312e-07 | 0.0 | 0.0 |  -3.743897984737646e-09 |  -4.559771376618347e-22 | 0.0 |  -5.408920577136169e-10 | 0.0 | -1.5701275927430884e-07 |   -2.26946546612907e-19 | 0.0 | -3.6195707859767363e-09 | 0.0 |  -6.652051544021773e-07 | -5.0126476388360965e-19 | 0.0 | -1.5347416829432785e-09 | 0.0 | -1.2100536411281556e-06 | -1.107524440772032e-19 | 0.0 |   5.984732706955034e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.363700338653062e-21 | 0.0 |    8.34330468773427e-06 |  1.1489593384164423e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |   -4.27723505224769e-16 |  4.4800153501226494e-29 | 0.0 | 0.0 |    3.04025413243179e-17 | 0.0 |  -6.414809056136946e-20 | 0.0 | 0.0 | -2.3989345771123815e-22 |  -3.086012598933016e-35 | 0.0 |  -3.991984777788257e-23 | 0.0 | -1.0797274750526446e-20 | -1.5610324474250954e-32 | 0.0 | -2.4811469454310335e-22 | 0.0 |   -4.59238209882111e-20 |  -3.462306811099453e-32 | 0.0 | -1.0528025352676947e-22 | 0.0 |  -8.278037518456519e-20 | -7.572409228970701e-33 | 0.0 |   4.081707609756348e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.9613437578702727e-34 | 0.0 |   5.659152997817185e-19 |   7.789563871768217e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   0.0004606414397107317 |    3.04025413243179e-17 | 0.0 | 0.0 |     0.00710179779915751 | 0.0 |  1.1438290706754695e-08 | 0.0 | 0.0 |   1.766263605427888e-08 |  2.2073669623726986e-21 | 0.0 |  2.7489346969157597e-09 | 0.0 |   7.821375742554277e-07 |  1.1304924323450172e-18 | 0.0 |  1.8031679932003612e-08 | 0.0 |  3.4765416073881723e-06 |   2.619885638938117e-18 | 0.0 |   7.972606487567217e-09 | 0.0 |   6.253932369746316e-06 | 5.7311918573754735e-19 | 0.0 |  -3.091498192349032e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.260485334895589e-20 | 0.0 |  -4.322546252352536e-05 | -5.9494795369012005e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -9.428661439074312e-07 |  -6.414809056136946e-20 | 0.0 | 0.0 |  1.1438290706754695e-08 | 0.0 |  4.7792587058575763e-08 | 0.0 | 0.0 |   3.541462510760391e-11 |   4.530950161776033e-24 | 0.0 |    5.54081825178698e-12 | 0.0 |  1.3953072686046477e-09 |  2.0201617540046115e-21 | 0.0 |   3.232283395442201e-11 | 0.0 |   4.615319031598369e-09 |   3.484465833166733e-21 | 0.0 |  1.0996824625217283e-11 | 0.0 |   8.332028500172043e-09 |  7.603549875576295e-22 | 0.0 |  -4.059987058244256e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.9530593767100286e-23 | 0.0 | -5.6399877927416936e-08 |   -7.77298199019116e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -3.743897984737646e-09 | -2.3989345771123815e-22 | 0.0 | 0.0 |   1.766263605427888e-08 | 0.0 |   3.541462510760391e-11 | 0.0 | 0.0 |    0.009420646698710207 |  3.0107318464075836e-16 | 0.0 |  -0.0007123414198304375 | 0.0 |  -4.435117154899534e-05 |  -2.007731570141111e-18 | 0.0 | -1.8753070456670375e-06 | 0.0 |  1.9091439630937665e-09 |  1.1849684670874931e-21 | 0.0 | -1.7186607992442562e-11 | 0.0 |  2.4428559261072052e-11 |  3.263161400661499e-24 | 0.0 |   8.176738785911978e-13 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5925247457421209e-25 | 0.0 |  -3.021470551710328e-10 | -4.2551410250176664e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
