|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                     10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                     25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 |
|     cygnus_background.spectral.index |     0.06182464034583313 | -2.4017577634784583e-15 | 0.0 | 0.0 |   0.0036316771137829026 | 0.0 |  -4.755222335925626e-06 | 0.0 | 0.0 |  -4.405182540000644e-09 | -2.611783324725788e-22 | 0.0 |  1.3183300476328456e-10 | 0.0 | -2.8956426343326816e-07 |  -3.573688810726004e-19 | 0.0 | -3.3169799151364997e-09 | 0.0 | -1.0007533845598647e-06 |  -6.212981023917601e-19 | 0.0 |  1.2575783636269074e-08 | 0.0 | -2.8795285982094694e-06 | -6.844238825011079e-20 | 0.0 |  1.4703660506468542e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.8498407712802423e-22 | 0.0 |  1.1194756663355882e-05 |  1.3723939960480643e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -2.4017577634784583e-15 |  1.0299795665139564e-28 | 0.0 | 0.0 |   5.341126583664634e-17 | 0.0 |  -7.277703382801924e-20 | 0.0 | 0.0 | -3.1515033926633467e-22 | -3.113628256278247e-35 | 0.0 |  -7.426667029910163e-23 | 0.0 |  -4.581588713379798e-21 | -5.7465238371751064e-33 | 0.0 |  -7.376424007146274e-23 | 0.0 | -1.5853308952703138e-20 |  -9.925574037855053e-33 | 0.0 |  1.8153647402989788e-22 | 0.0 | -4.0935033109002074e-20 | -9.772176464165323e-34 | 0.0 |  2.7274512383407993e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.3449848097990485e-36 | 0.0 |   1.403283881420101e-19 |    1.65970504046529e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   0.0036316771137829026 |   5.341126583664634e-17 | 0.0 | 0.0 |    0.046265411086746276 | 0.0 |  -2.659896004960349e-06 | 0.0 | 0.0 |     9.5157547723682e-08 |   7.85496634108417e-21 | 0.0 |   1.325014342900434e-08 | 0.0 |  3.3922469392145344e-06 |    4.19869612374594e-18 | 0.0 |  4.2964191889801465e-08 | 0.0 |   1.535757659329922e-05 |   9.542065998872708e-18 | 0.0 |  -1.893143993104742e-07 | 0.0 |  4.3418305988529846e-05 | 1.0294370682486908e-18 | 0.0 |  -2.429009712599296e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.711870597237854e-21 | 0.0 | -0.00016368233402377886 | -1.9912440320738396e-05 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -4.755222335925626e-06 |  -7.277703382801924e-20 | 0.0 | 0.0 |  -2.659896004960349e-06 | 0.0 |   6.309153517635417e-08 | 0.0 | 0.0 |  1.1652143292357334e-10 |  9.855195674492152e-24 | 0.0 |   1.652262299707601e-11 | 0.0 |  3.6500479578588734e-09 |   4.526154879575629e-21 | 0.0 |   4.680198776948919e-11 | 0.0 |  1.2374050286465264e-08 |   7.703049073072264e-21 | 0.0 | -1.5118481914771617e-10 | 0.0 |   3.447251398113287e-08 |  8.203595235528396e-22 | 0.0 |  -1.894070961775198e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  2.1549282839497927e-24 | 0.0 | -1.3008184578628674e-07 | -1.5821621359805632e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -4.405182540000644e-09 | -3.1515033926633467e-22 | 0.0 | 0.0 |     9.5157547723682e-08 | 0.0 |  1.1652143292357334e-10 | 0.0 | 0.0 |    0.021852958118883773 |  7.250871040832123e-16 | 0.0 |  -0.0015581207419625188 | 0.0 | -0.00010710701128554601 |  -6.024946950746373e-17 | 0.0 |  -3.803223707913391e-06 | 0.0 |  2.3252892994660942e-08 |  1.0670311480764864e-20 | 0.0 |  -4.723140368451518e-10 | 0.0 |   1.712721204764879e-10 |  4.759084930476813e-24 | 0.0 |  -3.537484932814912e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.9272723080210142e-27 | 0.0 |   2.990343185714341e-10 |   9.635089310188151e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
