|                           Parameters |                       0 |                       1 |   2 |   3 |                       4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                      24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |
|     cygnus_background.spectral.index |     0.06547820122058855 | -2.1725182405611526e-15 | 0.0 | 0.0 |   0.0018739561680317562 | 0.0 |  -4.944993930003888e-06 | 0.0 | 0.0 |  -3.016304855756482e-09 |  -1.145297141972972e-22 | 0.0 |  3.3948490660463835e-10 | 0.0 | -2.9117137152362134e-07 |  -3.648085542183233e-19 | 0.0 |  -3.672946983838369e-09 | 0.0 | -1.1380259745831751e-06 |  -7.214511195096247e-19 | 0.0 |   1.286855382172737e-08 | 0.0 |  -3.377046878483965e-06 |  -7.611180422872181e-20 | 0.0 |  2.0724545577815158e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.312543594209711e-22 | 0.0 |  1.2187237791602515e-05 |   1.527400087224481e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude | -2.1725182405611526e-15 |   7.856201145733927e-29 | 0.0 | 0.0 |  2.2771809784097832e-17 | 0.0 |  -5.879604388004826e-20 | 0.0 | 0.0 | -3.1778814214854276e-22 |   -2.99074940643478e-35 | 0.0 |   -7.33499852784561e-23 | 0.0 |  -3.425766679664818e-21 | -4.4050856156447304e-33 | 0.0 |  -6.877636387353482e-23 | 0.0 | -1.3081579004323976e-20 |  -8.580531182004768e-33 | 0.0 |   8.877744745944998e-23 | 0.0 | -3.6851177883835886e-20 |  -8.385031570738137e-34 | 0.0 |  1.9992610598453006e-22 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -2.550658705096381e-36 | 0.0 |  1.3442529441193526e-19 |  1.6837585636139528e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   0.0018739561680317562 |  2.2771809784097832e-17 | 0.0 | 0.0 |    0.020970707900710383 | 0.0 |  -1.491600781731317e-06 | 0.0 | 0.0 |  3.1525422985086925e-08 |   2.487674234729386e-21 | 0.0 |   4.443970141476572e-09 | 0.0 |  1.1743380022161166e-06 |  1.4798231001535898e-18 | 0.0 |  1.6720481632479536e-08 | 0.0 |   5.377606545387144e-06 |  3.4363028793310905e-18 | 0.0 |  -5.493378345438796e-08 | 0.0 |  1.5880106096803818e-05 |  3.5752798414715436e-19 | 0.0 |  -9.808706615392897e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.0836270863411251e-21 | 0.0 |  -5.708431561344305e-05 | -7.1490198058526295e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |  -4.944993930003888e-06 |  -5.879604388004826e-20 | 0.0 | 0.0 |  -1.491600781731317e-06 | 0.0 |   8.544163263409428e-08 | 0.0 | 0.0 |   9.908716014161537e-11 |   7.924841317659406e-24 | 0.0 |  1.3969593810524611e-11 | 0.0 |  3.1056343544007844e-09 |   3.918926090556472e-21 | 0.0 |   4.475634115537882e-11 | 0.0 |  1.0859520742870945e-08 |   6.949508909786529e-21 | 0.0 | -1.0999823503210346e-10 | 0.0 |   3.160228024695351e-08 |  7.1437592110730795e-22 | 0.0 |  -1.903641428171307e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.162584616528413e-24 | 0.0 | -1.1395245612718622e-07 | -1.4273528404208117e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |  -3.016304855756482e-09 | -3.1778814214854276e-22 | 0.0 | 0.0 |  3.1525422985086925e-08 | 0.0 |   9.908716014161537e-11 | 0.0 | 0.0 |    0.022349365069295597 |   7.157611820479586e-16 | 0.0 |  -0.0015874653825309075 | 0.0 |  -0.0001009165638435702 |  -5.823115258611463e-17 | 0.0 |   -3.36186100969574e-06 | 0.0 |  1.8208134152443338e-08 |   8.758020102270679e-21 | 0.0 | -3.9548664713620845e-10 | 0.0 |   7.852518671718533e-11 |   4.139018447757455e-24 | 0.0 |  2.1409632138040784e-11 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   7.193784139040768e-26 | 0.0 |  -4.163828968079606e-09 |  -6.704998742370124e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
