|                           Parameters |                       0 |                       1 |   2 |   3 |                      4 |   5 |                       6 |   7 |   8 |                       9 |                      10 |  11 |                      12 |  13 |                      14 |                      15 |  16 |                      17 |  18 |                      19 |                      20 |  21 |                      22 |  23 |                     24 |                      25 |  26 |                      27 |  28 |  29 |  30 |  31 |  32 |  33 |                      34 |  35 |                      36 |                      37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |  55 |  56 |  57 |  58 |  59 |  60 |
|     cygnus_background.spectral.index |      0.5196110809946649 |  -9.076031441672327e-15 | 0.0 | 0.0 |  -0.002445399145982821 | 0.0 |    9.02260481205164e-06 | 0.0 | 0.0 |    -0.11511439374306087 | -2.8826460472449395e-15 | 0.0 |  -0.0008022320662429134 | 0.0 |       0.059455740817745 | -1.5346440025330052e-14 | 0.0 |    -0.00849342857545843 | 0.0 |       0.223235338689471 |    -3.7340048518067e-15 | 0.0 |   -0.015297258626345888 | 0.0 |  -0.006275030149674831 | -4.3522535882634677e-17 | 0.0 |   -0.000480715510692413 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.649837957077749e-19 | 0.0 |    0.027595878730513605 |   0.0036091741579916577 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.amplitude |  -9.076031441672327e-15 |  1.6179917163003672e-28 | 0.0 | 0.0 | 1.5212274967466404e-16 | 0.0 |  -1.709468197287176e-19 | 0.0 | 0.0 |   2.516432216247218e-15 |   6.337778035969273e-29 | 0.0 |  2.0571418496886975e-17 | 0.0 | -1.6432925644564248e-15 |     4.0445144385903e-28 | 0.0 |   2.272568891454234e-16 | 0.0 |  -4.922251595821347e-15 |   8.390132771939992e-29 | 0.0 |  3.6928678378389525e-16 | 0.0 |   9.94895898384424e-17 |   1.650526605727023e-30 | 0.0 |  1.6613469683626802e-17 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.8543609117773072e-33 | 0.0 | -2.5462716403004875e-16 |  -1.087129478830856e-16 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| cygnus_background.spectral.reference |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      cygnus_background.spatial.lat_0 |   -0.002445399145982821 |  1.5212274967466404e-16 | 0.0 | 0.0 |   0.016465177358611905 | 0.0 |    9.01738973444865e-06 | 0.0 | 0.0 |    0.029601656614809162 |   7.664136358000583e-16 | 0.0 |  0.00037955081030409106 | 0.0 |   -0.035389230472527254 |  6.0051258112075305e-15 | 0.0 |    0.004152508108129966 | 0.0 |     -0.0491135656753471 |   9.192531466517942e-16 | 0.0 |    0.005027859968349935 | 0.0 |  0.0038654784366665786 |  -2.687965685277625e-17 | 0.0 |   0.0004148403984439078 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.4605961622331595e-19 | 0.0 |     -0.0168733709954504 |  -0.0015159924074636827 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.r_0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.eta |    9.02260481205164e-06 |  -1.709468197287176e-19 | 0.0 | 0.0 |   9.01738973444865e-06 | 0.0 |  1.9231869170044003e-07 | 0.0 | 0.0 |  1.9922793269169272e-05 |    5.51923133747905e-19 | 0.0 | -1.6019631957994827e-07 | 0.0 |  1.0130165733999217e-05 | -1.1115242289909251e-18 | 0.0 | -1.2347209737559241e-06 | 0.0 |  2.5412609737120176e-05 |  -4.461918169709932e-19 | 0.0 | -1.7873139074358937e-06 | 0.0 |  9.011387180636043e-07 | -2.3340803381153167e-20 | 0.0 |  2.0259675272676663e-07 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   3.843735791076412e-22 | 0.0 | -2.2487295953589865e-05 |  1.6729424861503488e-06 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          cygnus_background.spatial.e |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        cygnus_background.spatial.phi |                     0.0 |                     0.0 | 0.0 | 0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.index |    -0.11511439374306087 |   2.516432216247218e-15 | 0.0 | 0.0 |   0.029601656614809162 | 0.0 |  1.9922793269169272e-05 | 0.0 | 0.0 |      0.5073148987946579 |    1.18863709912157e-14 | 0.0 |   0.0004090631843919515 | 0.0 |    -0.23667773147486204 |   4.741219410903054e-14 | 0.0 |    0.029211749050023564 | 0.0 |    -0.24785963820439424 |   4.855137976598907e-15 | 0.0 |    0.032350359100854244 | 0.0 |    0.03423876952207814 | -1.9612261849918763e-16 | 0.0 |   0.0024725356012737115 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    5.85165748298846e-18 | 0.0 |    -0.30285276454847004 |   -0.005158277224202031 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
