|                        Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |   7 |                      8 |   9 |                     10 |                     11 |  12 |                     13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |
|      VER J2020+368.spectral.index |     0.5703255919023551 | 1.8587602197611014e-12 | 0.0 |    0.04461140148190894 | 0.0 | 0.00020809562761025404 | 2.7018133056746946e-19 | 0.0 |  1.708672251431224e-05 | 0.0 | 2.8991329951849433e-08 | 1.2066790062267366e-18 | 0.0 | 5.0137316601831524e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.amplitude | 1.8587602197611014e-12 |   6.94896024321081e-24 | 0.0 | 1.9163589361093335e-13 | 0.0 |  7.863176103688294e-16 |  9.361856941667301e-31 | 0.0 |  6.419989363408803e-17 | 0.0 |  1.073320203148554e-19 | 4.4682373544878135e-30 | 0.0 | 1.8569157855560144e-20 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2020+368.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2020+368.spectral.lambda_ |    0.04461140148190894 | 1.9163589361093335e-13 | 0.0 |   0.006194563444091622 | 0.0 | 2.6600425598500384e-05 | 3.0799612634109085e-20 | 0.0 |  2.136946535903513e-06 | 0.0 |   2.99808670099996e-09 | 1.2477509782308706e-19 | 0.0 |  5.183708361522521e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2020+368.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.index | 0.00020809562761025404 |  7.863176103688294e-16 | 0.0 | 2.6600425598500384e-05 | 0.0 |     1.1344995137620197 | 2.0175010138972975e-16 | 0.0 |    0.06134315584325537 | 0.0 | -6.818169580536996e-08 | -6.143992013322816e-19 | 0.0 |  3.782703675221798e-09 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.amplitude | 2.7018133056746946e-19 |  9.361856941667301e-31 | 0.0 | 3.0799612634109085e-20 | 0.0 | 2.0175010138972975e-16 | 3.8414715554340045e-32 | 0.0 |  1.238168374243751e-17 | 0.0 | -9.426587467910676e-24 | 1.2731527759306466e-35 | 0.0 | 1.1873607765228693e-24 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|  VER J2018+367.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|    VER J2018+367.spectral.lambda_ |  1.708672251431224e-05 |  6.419989363408803e-17 | 0.0 |  2.136946535903513e-06 | 0.0 |    0.06134315584325537 |  1.238168374243751e-17 | 0.0 |    0.00427879593336729 | 0.0 | -2.674985383761301e-09 | 1.7415042526158902e-20 | 0.0 |  4.296620268381358e-10 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      VER J2018+367.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
