|                           Parameters |                      0 |                      1 |   2 |                       3 |   4 |                      5 |                      6 |   7 |                       8 |   9 |                     10 |                      11 |  12 |                     13 |  14 |                     15 |                      16 |  17 |                     18 |  19 |  20 |  21 |  22 |  23 |  24 |                      25 |  26 |                      27 |                     28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 |  43 |  44 |  45 |  46 |  47 |  48 |  49 |  50 |  51 |  52 |  53 |  54 |
|         VER J2020+368.spectral.index |     0.6041477406394579 |  3.954981358740037e-12 | 0.0 |    0.050874494929074685 | 0.0 |   0.002733298042505735 | 1.1886851792567984e-18 | 0.0 |  0.00015993205443968797 | 0.0 |   0.004531197663736216 |   4.159649755671553e-13 | 0.0 |  0.0005810903901315293 | 0.0 |    0.09195021339606652 |   4.697948087420908e-13 | 0.0 |   0.008238808077189064 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.083304275875849e-20 | 0.0 |  -0.0018679976423968871 |   0.003960546217277629 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.amplitude |  3.954981358740037e-12 | 2.8959507638718427e-23 | 0.0 |   4.131191049271584e-13 | 0.0 | 2.0615436255469937e-14 |  8.628982871695525e-30 | 0.0 |  1.2070984577052925e-15 | 0.0 |  3.334158321204098e-14 |  3.0597279048875163e-24 | 0.0 | 4.2743569633560305e-15 | 0.0 |  7.001631551089268e-13 |   3.574344235174244e-24 | 0.0 |  6.272691633568676e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |    2.93695936023358e-31 | 0.0 |  -1.421483121069211e-14 | 3.0208387761292575e-14 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2020+368.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2020+368.spectral.lambda_ |   0.050874494929074685 |  4.131191049271584e-13 | 0.0 |    0.006694480451358076 | 0.0 |  0.0002825337042422813 | 1.2563140401606719e-19 | 0.0 |  1.6544732208361308e-05 | 0.0 | 0.00047494738229580794 |  4.3608833033429115e-14 | 0.0 |  6.092012790341496e-05 | 0.0 |   0.009443496526715592 |  4.8273337849961815e-14 | 0.0 |  0.0008462122408075205 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   4.335830233850697e-21 | 0.0 | -0.00019192338434956792 |  0.0004063417525615522 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2020+368.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.index |   0.002733298042505735 | 2.0615436255469937e-14 | 0.0 |   0.0002825337042422813 | 0.0 |     0.4008371208600449 |  1.022270314307405e-16 | 0.0 |    0.017494508270095563 | 0.0 |  0.0025947581009411335 |  2.3373114935068964e-13 | 0.0 |  0.0003265581828366194 | 0.0 |    0.15422424936050183 |   7.752549043440096e-13 | 0.0 |   0.013783160603649834 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -5.757532094985367e-21 | 0.0 |   -0.003093479510895061 |   0.006860114232915869 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.amplitude | 1.1886851792567984e-18 |  8.628982871695525e-30 | 0.0 |  1.2563140401606719e-19 | 0.0 |  1.022270314307405e-16 | 3.0874334623753364e-32 | 0.0 |  6.1444166369114915e-18 | 0.0 |  7.392571960339659e-19 |   6.644079914454578e-29 | 0.0 |  9.282943753676331e-20 | 0.0 |  4.735247071851335e-17 |   2.378856726256704e-28 | 0.0 |  4.231526382730212e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   -2.61967876483159e-36 | 0.0 |   -9.49356480714626e-19 |  2.108797797767895e-18 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     VER J2018+367.spectral.reference |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       VER J2018+367.spectral.lambda_ | 0.00015993205443968797 | 1.2070984577052925e-15 | 0.0 |  1.6544732208361308e-05 | 0.0 |   0.017494508270095563 | 6.1444166369114915e-18 | 0.0 |   0.0014498791329077016 | 0.0 | 0.00015033609414767416 |  1.3531433905825123e-14 | 0.0 | 1.8905579385099115e-05 | 0.0 |   0.009175876959601172 |  4.6115058159267385e-14 | 0.0 |  0.0008200277892456551 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.025199221532584e-22 | 0.0 | -0.00018402073445017553 |  0.0004083313684536971 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|         VER J2018+367.spectral.alpha |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |                     0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
